distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.715,3.11,3.439,11.792,23.774,25.968,29.637,64.333,79.255,86.134,157.419,131.016
2.75,-12.389,-9.527,-9.285,-0.537,10.82,13.455,34.399,74.898,91.565,98.974,179.87,152.511
3.25,-180.255,-171.764,-170.291,-223.419,-264.743,-258.589,26.16,21.11,90.858,97.521,119.1,98.216
3.75,-205.868,-198.944,-196.491,-259.367,-303.84,-295.741,39.253,40.675,121.695,126.846,160.974,141.711
4.25,-232.956,-228.144,-225.569,-289.906,-330.523,-319.655,69.196,101.599,188.878,189.505,268.824,250.192
4.75,-254.621,-250.768,-247.453,-312.894,-351.158,-339.721,88.675,141.094,231.689,230.363,337.723,320.874
5.25,-271.727,-267.996,-264.727,-335.178,-378.038,-366.457,96.094,151.122,250.339,247.731,358.146,343.633
5.75,-285.764,-282.026,-278.653,-353.439,-400.234,-387.934,102.335,157.349,264.695,261.401,372.737,360.739
6.25,-298.663,-294.673,-291.401,-369.234,-418.968,-405.591,109.499,165.958,280.21,276.088,389.323,379.287
6.75,-310.986,-307.098,-304.032,-384.15,-435.455,-422.577,117.11,174.645,294.898,290.339,404.08,396.353
7.25,-321.691,-317.629,-314.635,-395.595,-447.265,-433.806,123.992,183.345,307.85,302.78,418.661,411.786
7.75,-330.18,-326.631,-323.451,-404.343,-455.621,-442.128,130.022,192.17,319.261,313.449,432.711,427.2
8.25,-338.086,-334.585,-331.623,-412.399,-462.691,-449.501,136.128,200.206,329.699,323.429,444.83,439.703
8.75,-345.631,-342.337,-339.762,-420.321,-470.028,-457.03,141.623,206.367,338.569,332.429,454.423,449.762
9.25,-353.146,-350.038,-347.485,-428.12,-477.541,-464.365,146.343,211.106,347.293,340.701,462.818,457.651
9.75,-359.675,-357.349,-354.465,-434.99,-483.743,-471.405,151.283,215.918,355.305,348.543,469.333,465.283
10.25,-366.128,-364.104,-361.236,-441.234,-489.012,-476.253,155.713,221.006,362.653,355.978,476.042,472.419
10.75,-372.369,-370.331,-367.507,-447.078,-492.501,-480.898,159.631,225.695,369.83,363.048,482.854,479.074
11.25,-377.976,-376.469,-373.717,-452.601,-496.555,-486.022,164.098,228.754,376.503,369.749,489.0,485.056
11.75,-383.938,-382.014,-379.92,-457.99,-499.984,-490.467,167.866,231.659,382.932,375.988,493.786,490.565
12.25,-389.208,-387.585,-385.531,-462.908,-502.998,-494.495,171.501,234.293,389.012,382.142,497.874,493.499
12.75,-394.228,-393.078,-390.93,-467.395,-506.074,-498.577,174.946,237.627,395.016,387.754,501.539,497.429
13.25,-399.078,-398.313,-396.206,-471.762,-508.625,-501.681,178.367,239.683,400.828,393.176,504.92,501.204
13.75,-403.8,-403.331,-401.202,-475.0,-511.437,-504.563,181.519,241.433,406.335,398.271,508.379,504.485
14.25,-408.285,-407.99,-405.926,-478.523,-514.267,-507.309,184.934,243.385,411.281,403.557,510.968,507.794
14.75,-412.521,-412.501,-410.337,-481.938,-515.994,-509.405,188.299,245.146,415.83,408.513,513.627,509.932
15.25,-416.86,-416.948,-414.553,-484.381,-517.84,-512.335,191.517,246.978,420.569,413.112,516.048,512.064
15.75,-421.078,-421.024,-418.405,-487.595,-520.293,-514.563,194.188,249.08,424.888,417.343,518.581,514.086
16.25,-424.754,-425.06,-422.463,-489.974,-521.902,-516.261,196.741,251.619,429.242,421.607,521.096,516.609
16.75,-428.295,-428.874,-426.267,-493.062,-523.611,-518.166,199.677,253.17,433.395,425.914,522.938,519.174
17.25,-432.0,-432.04,-429.828,-495.725,-524.944,-519.433,202.449,254.463,437.186,429.637,524.214,521.293
17.75,-435.541,-435.541,-433.114,-497.555,-525.493,-520.717,205.094,255.828,440.717,433.309,525.523,522.212
18.25,-438.665,-438.81,-436.523,-499.277,-526.481,-521.635,207.593,256.539,444.339,436.864,527.004,523.798
18.75,-441.764,-441.768,-439.864,-501.327,-526.87,-522.591,209.846,257.866,447.449,439.996,528.389,525.487
19.25,-444.601,-444.904,-442.766,-502.838,-527.052,-523.367,211.758,258.94,450.411,443.615,529.457,525.968
19.75,-447.577,-447.637,-446.19,-504.697,-527.337,-524.868,213.529,259.112,453.267,446.95,530.016,526.934
