distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.715,3.11,3.439,11.792,23.774,25.968,29.637,64.333,79.255,86.134,157.419,131.016
2.75,-12.389,-9.527,-9.285,-0.537,10.82,13.455,34.399,74.898,91.565,98.974,179.87,152.511
3.25,-180.255,-171.764,-170.291,-223.419,-264.743,-258.589,26.16,21.11,90.858,97.521,119.1,98.216
3.75,-205.868,-198.944,-196.491,-259.367,-303.84,-295.741,39.253,40.675,121.695,126.846,160.974,141.711
4.25,-232.956,-228.144,-225.569,-289.906,-330.523,-319.655,69.196,101.599,188.878,189.505,268.824,250.192
4.75,-254.621,-250.768,-247.453,-312.894,-351.158,-339.721,88.675,141.094,231.689,230.363,337.723,320.874
5.25,-271.727,-267.996,-264.727,-335.178,-378.038,-366.457,96.094,151.122,250.339,247.731,358.146,343.633
5.75,-285.764,-282.026,-278.653,-353.439,-400.234,-387.934,102.335,157.349,264.695,261.401,372.737,360.739
6.25,-298.663,-294.673,-291.401,-369.234,-418.968,-405.591,109.499,165.958,280.21,276.088,389.323,379.287
6.75,-310.986,-307.098,-304.032,-384.15,-435.455,-422.577,117.11,174.645,294.898,290.339,404.08,396.353
7.25,-321.691,-317.629,-314.635,-395.595,-447.265,-433.806,123.992,183.345,307.85,302.78,418.661,411.786
7.75,-330.18,-326.631,-323.451,-404.343,-455.621,-442.128,130.022,192.17,319.261,313.449,432.711,427.2
8.25,-338.086,-334.585,-331.623,-412.399,-462.691,-449.501,136.128,200.206,329.699,323.429,444.83,439.703
8.75,-345.631,-342.337,-339.762,-420.321,-470.028,-457.03,141.623,206.367,338.569,332.429,454.423,449.762
9.25,-353.146,-350.038,-347.485,-428.12,-477.541,-464.365,146.343,211.106,347.293,340.701,462.818,457.651
9.75,-359.675,-357.349,-354.465,-434.99,-483.743,-471.405,151.283,215.918,355.305,348.543,469.333,465.283
