distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.715,3.11,3.439,11.792,23.774,25.968,29.637,64.333,79.255,86.134,157.419,131.016
2.75,-15.104,-12.637,-12.725,-12.329,-12.954,-12.513,4.762,10.565,12.309,12.84,22.451,21.495
3.25,-167.866,-162.238,-161.006,-222.882,-275.563,-272.044,-8.24,-53.788,-0.707,-1.453,-60.77,-54.295
3.75,-25.613,-27.18,-26.2,-35.948,-39.098,-37.152,13.094,19.565,30.836,29.325,41.874,43.495
4.25,-27.088,-29.2,-29.078,-30.539,-26.683,-23.914,29.942,60.924,67.184,62.659,107.85,108.481
4.75,-21.665,-22.625,-21.884,-22.988,-20.635,-20.066,19.479,39.495,42.81,40.858,68.898,70.683
5.25,-17.106,-17.228,-17.273,-22.283,-26.88,-26.737,7.419,10.028,18.651,17.367,20.423,22.758
5.75,-14.038,-14.03,-13.926,-18.261,-22.196,-21.477,6.242,6.228,14.355,13.671,14.591,17.106
6.25,-12.898,-12.647,-12.749,-15.794,-18.735,-17.657,7.164,8.609,15.515,14.687,16.587,18.549
6.75,-12.323,-12.425,-12.631,-14.916,-16.487,-16.986,7.611,8.687,14.689,14.251,14.756,17.066
7.25,-10.705,-10.531,-10.603,-11.445,-11.81,-11.23,6.882,8.701,12.952,12.441,14.581,15.433
7.75,-8.489,-9.002,-8.816,-8.749,-8.355,-8.321,6.03,8.824,11.411,10.669,14.05,15.413
8.25,-7.906,-7.954,-8.172,-8.056,-7.07,-7.373,6.106,8.036,10.437,9.98,12.12,12.503
8.75,-7.545,-7.752,-8.14,-7.922,-7.337,-7.529,5.495,6.162,8.87,9.0,9.593,10.06
9.25,-7.515,-7.701,-7.723,-7.798,-7.513,-7.335,4.721,4.739,8.725,8.271,8.395,7.888
9.75,-6.529,-7.311,-6.98,-6.87,-6.202,-7.04,4.94,4.812,8.012,7.842,6.515,7.633
10.25,-6.453,-6.754,-6.77,-6.244,-5.269,-4.848,4.429,5.088,7.347,7.435,6.709,7.136
10.75,-6.242,-6.228,-6.271,-5.844,-3.489,-4.645,3.918,4.689,7.178,7.07,6.812,6.655
11.25,-5.607,-6.138,-6.21,-5.523,-4.054,-5.124,4.467,3.06,6.673,6.701,6.146,5.982
11.75,-5.962,-5.545,-6.204,-5.389,-3.429,-4.445,3.768,2.904,6.429,6.24,4.786,5.509
12.25,-5.269,-5.571,-5.611,-4.918,-3.014,-4.028,3.635,2.635,6.08,6.154,4.088,2.934
12.75,-5.02,-5.493,-5.399,-4.487,-3.076,-4.082,3.445,3.333,6.004,5.613,3.665,3.93
13.25,-4.85,-5.236,-5.275,-4.367,-2.551,-3.104,3.421,2.056,5.812,5.421,3.381,3.774
13.75,-4.723,-5.018,-4.996,-3.238,-2.812,-2.882,3.152,1.75,5.507,5.096,3.459,3.281
14.25,-4.485,-4.659,-4.725,-3.523,-2.83,-2.747,3.415,1.952,4.946,5.285,2.589,3.309
14.75,-4.236,-4.511,-4.411,-3.415,-1.727,-2.096,3.365,1.76,4.549,4.956,2.659,2.138
15.25,-4.339,-4.447,-4.216,-2.443,-1.846,-2.93,3.218,1.832,4.739,4.599,2.421,2.132
15.75,-4.218,-4.076,-3.852,-3.214,-2.453,-2.228,2.671,2.102,4.319,4.232,2.533,2.022
16.25,-3.677,-4.036,-4.058,-2.379,-1.609,-1.699,2.553,2.539,4.353,4.263,2.515,2.523
16.75,-3.541,-3.814,-3.804,-3.088,-1.709,-1.904,2.936,1.551,4.154,4.307,1.842,2.565
17.25,-3.705,-3.166,-3.561,-2.663,-1.333,-1.267,2.772,1.293,3.79,3.723,1.275,2.12
17.75,-3.541,-3.501,-3.285,-1.83,-0.549,-1.283,2.645,1.365,3.531,3.673,1.309,0.918
18.25,-3.124,-3.269,-3.409,-1.723,-0.988,-0.918,2.499,0.711,3.623,3.555,1.481,1.587
18.75,-3.1,-2.958,-3.341,-2.05,-0.389,-0.956,2.253,1.327,3.11,3.132,1.385,1.689
19.25,-2.836,-3.136,-2.902,-1.511,-0.182,-0.776,1.912,1.074,2.962,3.619,1.068,0.481
19.75,-2.976,-2.733,-3.423,-1.858,-0.285,-1.501,1.77,0.172,2.856,3.335,0.559,0.966
