distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.715,3.11,3.439,11.792,23.774,25.968,29.637,64.333,79.255,86.134,157.419,131.016
2.75,-15.104,-12.637,-12.725,-12.329,-12.954,-12.513,4.762,10.565,12.309,12.84,22.451,21.495
3.25,-167.866,-162.238,-161.006,-222.882,-275.563,-272.044,-8.24,-53.788,-0.707,-1.453,-60.77,-54.295
3.75,-25.613,-27.18,-26.2,-35.948,-39.098,-37.152,13.094,19.565,30.836,29.325,41.874,43.495
4.25,-27.088,-29.2,-29.078,-30.539,-26.683,-23.914,29.942,60.924,67.184,62.659,107.85,108.481
4.75,-21.665,-22.625,-21.884,-22.988,-20.635,-20.066,19.479,39.495,42.81,40.858,68.898,70.683
5.25,-17.106,-17.228,-17.273,-22.283,-26.88,-26.737,7.419,10.028,18.651,17.367,20.423,22.758
5.75,-14.038,-14.03,-13.926,-18.261,-22.196,-21.477,6.242,6.228,14.355,13.671,14.591,17.106
6.25,-12.898,-12.647,-12.749,-15.794,-18.735,-17.657,7.164,8.609,15.515,14.687,16.587,18.549
6.75,-12.323,-12.425,-12.631,-14.916,-16.487,-16.986,7.611,8.687,14.689,14.251,14.756,17.066
7.25,-10.705,-10.531,-10.603,-11.445,-11.81,-11.23,6.882,8.701,12.952,12.441,14.581,15.433
7.75,-8.489,-9.002,-8.816,-8.749,-8.355,-8.321,6.03,8.824,11.411,10.669,14.05,15.413
8.25,-7.906,-7.954,-8.172,-8.056,-7.07,-7.373,6.106,8.036,10.437,9.98,12.12,12.503
8.75,-7.545,-7.752,-8.14,-7.922,-7.337,-7.529,5.495,6.162,8.87,9.0,9.593,10.06
9.25,-7.515,-7.701,-7.723,-7.798,-7.513,-7.335,4.721,4.739,8.725,8.271,8.395,7.888
9.75,-6.529,-7.311,-6.98,-6.87,-6.202,-7.04,4.94,4.812,8.012,7.842,6.515,7.633
