region_type,length_center_A,count
3F,2.425,0
3F,2.475,2
3F,2.525,15
3F,2.575,60
3F,2.625,288
3F,2.675,767
3F,2.725,1807
3F,2.775,3467
3F,2.825,5317
3F,2.875,7410
3F,2.925,9137
3F,2.975,10314
3F,3.025,10539
3F,3.075,10569
3F,3.125,9822
3F,3.175,9502
3F,3.225,8795
3F,3.275,8256
3F,3.325,7346
3F,3.375,6731
3F,3.425,6360
3F,3.475,5896
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,6
5F,2.575,17
5F,2.625,76
5F,2.675,204
5F,2.725,496
5F,2.775,923
5F,2.825,1473
5F,2.875,1924
5F,2.925,2286
5F,2.975,2577
5F,3.025,2678
5F,3.075,2560
5F,3.125,2465
5F,3.175,2258
5F,3.225,2106
5F,3.275,2020
5F,3.325,1876
5F,3.375,1740
5F,3.425,1607
5F,3.475,1462
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,3
neither,2.625,6
neither,2.675,23
neither,2.725,53
neither,2.775,107
neither,2.825,176
neither,2.875,217
neither,2.925,257
neither,2.975,306
neither,3.025,329
neither,3.075,253
neither,3.125,295
neither,3.175,290
neither,3.225,250
neither,3.275,225
neither,3.325,203
neither,3.375,176
neither,3.425,166
neither,3.475,161
neither,3.525,0
neither,3.575,0
