region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,0
3F,2.575,0
3F,2.625,0
3F,2.675,1
3F,2.725,0
3F,2.775,3
3F,2.825,1
3F,2.875,3
3F,2.925,3
3F,2.975,2
3F,3.025,1
3F,3.075,3
3F,3.125,0
3F,3.175,1
3F,3.225,3
3F,3.275,4
3F,3.325,2
3F,3.375,3
3F,3.425,1
3F,3.475,1
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,0
5F,2.625,0
5F,2.675,0
5F,2.725,0
5F,2.775,0
5F,2.825,0
5F,2.875,1
5F,2.925,1
5F,2.975,1
5F,3.025,2
5F,3.075,1
5F,3.125,0
5F,3.175,0
5F,3.225,2
5F,3.275,1
5F,3.325,1
5F,3.375,0
5F,3.425,1
5F,3.475,1
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,0
neither,2.675,0
neither,2.725,1
neither,2.775,1
neither,2.825,0
neither,2.875,1
neither,2.925,1
neither,2.975,2
neither,3.025,0
neither,3.075,3
neither,3.125,1
neither,3.175,1
neither,3.225,0
neither,3.275,0
neither,3.325,1
neither,3.375,0
neither,3.425,0
neither,3.475,0
neither,3.525,0
neither,3.575,0
