==========================================================
PIC calculation (per-residue): SUC
Job: 171   Node: mem-queue-multi-az-dy-r8i-32xl-1   Started: Wed Jul  1 05:58:49 PM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
==========================================================
17:59:18 [rank   0] INFO ======================================================================
17:59:18 [rank   0] INFO PIC (Gamma_23) calculation, per-residue -- Shukla et al. 2009 method
17:59:18 [rank   0] INFO gro=aav1/benchmark/md.gro xtc=aav1/benchmark/md_noPBC.xtc excipient=SUC radius=20.00 A charge=0.000
17:59:18 [rank   0] INFO MPI ranks: 64
17:59:24 [rank  20] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  20] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  20] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  38] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  38] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  38] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  21] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  21] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  21] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  29] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  29] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  29] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  20] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  57] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  20] INFO assigned 31 frames (local index 637:668)
17:59:24 [rank  57] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  57] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  38] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  38] INFO assigned 31 frames (local index 1195:1226)
17:59:24 [rank  48] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  21] INFO [protein] 479460 atoms grouped into 31080 residues
