==========================================================
PIC calculation (per-residue): SUC
Job: 243   Node: mem-queue-multi-az-dy-r8i-32xl-2   Started: Tue Jul  7 12:31:08 PM EDT 2026
GRO: aav1/md_aav1_ph6/md.gro
XTC: aav1/md_aav1_ph6/md_nojump.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
==========================================================
12:31:44 [rank   0] INFO ======================================================================
12:31:44 [rank   0] INFO PIC (Gamma_23) calculation, per-residue, EXTERIOR SOLVENT ONLY
12:31:44 [rank   0] INFO gro=aav1/md_aav1_ph6/md.gro xtc=aav1/md_aav1_ph6/md_nojump.xtc excipient=SUC radius=30.00 A charge=0.000
12:31:44 [rank   0] INFO shell-margin=5.0 A  inner/outer percentile=2.0/98.0  calib-frames=20
12:31:44 [rank   0] INFO MPI ranks: 64
12:31:52 [rank  46] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:52 [rank  14] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:52 [rank  46] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:52 [rank  46] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:52 [rank  14] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:52 [rank  14] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  63] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  11] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   0] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  63] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  63] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  11] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  11] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   0] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   0] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  14] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  46] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  10] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  23] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  10] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  10] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  18] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  23] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  23] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  18] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  18] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   3] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  14] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  14] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  46] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  46] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank   3] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   3] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  63] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  11] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   0] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  31] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  20] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  33] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  46] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  14] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  31] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  31] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  20] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  20] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  10] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  49] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  18] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   6] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  49] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  49] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  23] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   6] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   6] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  39] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  25] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   0] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank   0] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  39] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  39] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  25] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  25] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   0] INFO [protein] chain-grouping candidate 'segindices': 1 distinct groups, member counts min=478908 max=478908 mean=478908.0 (uniform sizes are a good sign for a multi-copy assembly like a capsid)
12:31:53 [rank   0] INFO [protein] chain-grouping candidate 'resid-reset': 60 distinct groups, member counts min=7981 max=7982 mean=7981.8 (uniform sizes are a good sign for a multi-copy assembly like a capsid)
12:31:53 [rank   0] INFO [protein] using 'resid-reset' for chain-level PBC realignment (60 distinct chains/segments)
12:31:53 [rank   0] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   0] INFO protein atoms=478908 residues=31020  water molecules=777174 (topology total)  SUC molecules=3684 (topology total)
12:31:53 [rank   3] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  21] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  11] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  63] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  11] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  63] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  21] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  21] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  20] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  13] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  10] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  31] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  11] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  10] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  63] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  13] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  13] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  18] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  18] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  10] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  27] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  22] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  38] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  17] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  15] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  45] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  47] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  18] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  22] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  22] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  38] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  38] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  27] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   6] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  49] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  27] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  23] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  17] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  17] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  15] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  15] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  23] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  45] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  45] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  47] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  47] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  37] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   9] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  39] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  23] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   9] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   9] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  25] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  36] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  37] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  37] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  48] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  50] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  36] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  36] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   3] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  48] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  48] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  50] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  50] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   3] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  56] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  20] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  20] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  21] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  56] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  56] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   3] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
