==========================================================
PIC calculation (per-residue): NA
Job: 247   Node: mem-queue-multi-az-dy-r8i-32xl-4   Started: Tue Jul  7 12:48:45 PM EDT 2026
GRO: aav1/md_aav1_ph6/md.gro
XTC: aav1/md_aav1_ph6/md_whole.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
==========================================================
12:49:18 [rank   0] INFO ======================================================================
12:49:18 [rank   0] INFO PIC (Gamma_23) calculation, per-residue, EXTERIOR SOLVENT ONLY
12:49:18 [rank   0] INFO gro=aav1/md_aav1_ph6/md.gro xtc=aav1/md_aav1_ph6/md_whole.xtc excipient=NA radius=30.00 A charge=0.000
12:49:18 [rank   0] INFO shell-margin=5.0 A  inner/outer percentile=2.0/98.0  calib-frames=20
12:49:18 [rank   0] INFO MPI ranks: 64
12:49:26 [rank  46] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  46] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  46] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  47] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  47] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  47] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  31] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  31] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  31] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  52] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  52] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  52] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  58] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  46] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:26 [rank  58] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  58] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  57] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  39] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  47] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:26 [rank  57] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  57] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  45] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:26 [rank  39] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:26 [rank  39] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:26 [rank  45] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
