==========================================================
PIC calculation (per-residue): SUC
Job: 319   Node: mem-queue-multi-az-dy-r8i-32xl-1   Started: Wed Jul  8 04:10:20 PM EDT 2026
GRO: aav1/aav1ph6salt30suc1/md.gro
XTC: aav1/aav1ph6salt30suc1/md_whole.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
==========================================================
16:10:48 [rank   0] INFO ======================================================================
16:10:48 [rank   0] INFO PIC (Gamma_23) calculation, per-residue, EXTERIOR SOLVENT ONLY
16:10:48 [rank   0] INFO gro=aav1/aav1ph6salt30suc1/md.gro xtc=aav1/aav1ph6salt30suc1/md_whole.xtc excipient=SUC radius=30.00 A charge=0.000
16:10:48 [rank   0] INFO shell-margin=2.0 A  density-bin-width=2.0 A  calib-frames=20
16:10:48 [rank   0] INFO MPI ranks: 64
16:10:57 [rank  30] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  30] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  30] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  21] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  61] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  21] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  21] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  30] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  19] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  61] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  61] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  56] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  19] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  19] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  56] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  56] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  15] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  15] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  15] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  35] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  35] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  35] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  62] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  26] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  18] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  21] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  30] INFO [water] 2507079 atoms grouped into 835693 residues/molecules
16:10:57 [rank  30] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
16:10:57 [rank  28] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  61] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  62] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  62] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  26] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  26] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  18] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  18] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  19] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  28] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  28] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  30] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
16:10:57 [rank  22] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:57 [rank  56] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  22] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  22] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:57 [rank  15] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:57 [rank  52] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:58 [rank  52] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  52] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  33] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:58 [rank  33] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  33] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  20] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:58 [rank  35] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
16:10:58 [rank  58] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
16:10:58 [rank  21] INFO [water] 2507079 atoms grouped into 835693 residues/molecules
16:10:58 [rank  21] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
16:10:58 [rank  20] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  20] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
16:10:58 [rank  61] INFO [water] 2507079 atoms grouped into 835693 residues/molecules
16:10:58 [rank  61] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
16:10:58 [rank  58] INFO [water] 2507079 atoms, mass range 1.008-15.999 amu (OK)
