==========================================================
PIC calculation (per-residue): SUC
Job: 408   Node: mem-queue-multi-az-dy-r8i-24xl-2   Started: Mon Jul 13 11:23:00 AM EDT 2026
GRO: aav1/10ns_aav1ph8salt200suc1/md.gro
XTC: aav1/10ns_aav1ph8salt200suc1/md_whole.xtc
Radius: 15 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 1
==========================================================
11:23:20 [rank   0] INFO ======================================================================
11:23:20 [rank   0] INFO PIC (Gamma_23) calculation, per-residue, EXTERIOR SOLVENT ONLY
11:23:20 [rank   0] INFO gro=aav1/10ns_aav1ph8salt200suc1/md.gro xtc=aav1/10ns_aav1ph8salt200suc1/md_whole.xtc excipient=SUC radius=15.00 A charge=0.000
11:23:20 [rank   0] INFO shell-margin=2.0 A  density-bin-width=2.0 A  calib-frames=20
11:23:20 [rank   0] INFO MPI ranks: 48
11:23:20 [rank   0] INFO r* FORCED to 10.00 A for every residue and the whole-molecule curve (auto-detection disabled)
11:23:32 [rank   6] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank   6] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank   6] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  13] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  13] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  13] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  29] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  29] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  29] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  33] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  33] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  33] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank   6] INFO [protein] 471540 atoms grouped into 30720 residues/molecules
11:23:32 [rank  11] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  40] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  11] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  11] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  40] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  40] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank   9] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank   9] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank   9] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  31] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  27] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  13] INFO [protein] 471540 atoms grouped into 30720 residues/molecules
11:23:32 [rank  28] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  31] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  31] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  27] INFO [water] 2488737 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  27] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:23:32 [rank  42] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
11:23:32 [rank  12] INFO [protein] 471540 atoms, mass range 1.008-32.060 amu (OK)
