==========================================================
PIC calculation (per-residue): SUC
Job: 440   Node: mem-queue-multi-az-dy-r8i-24xl-1   Started: Thu Jul 16 11:34:38 AM EDT 2026
GRO: aav1/10ns_aav1ph6salt30suc1_rerun/md.gro
XTC: aav1/10ns_aav1ph6salt30suc1_rerun/md_whole.xtc
Radius: 40 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 1
==========================================================
11:34:56 [rank   0] INFO ======================================================================
11:34:56 [rank   0] INFO PIC (Gamma_23) calculation, per-residue, EXTERIOR SOLVENT ONLY
11:34:56 [rank   0] INFO gro=aav1/10ns_aav1ph6salt30suc1_rerun/md.gro xtc=aav1/10ns_aav1ph6salt30suc1_rerun/md_whole.xtc excipient=SUC radius=40.00 A charge=0.000
11:34:56 [rank   0] INFO shell-margin=2.0 A  density-bin-width=2.0 A  calib-frames=20
11:34:56 [rank   0] INFO MPI ranks: 48
11:34:56 [rank   0] INFO r* FORCED to 10.00 A for every residue and the whole-molecule curve (auto-detection disabled)
11:35:04 [rank  19] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank  19] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  19] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  12] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank  12] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  12] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  24] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank   3] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank  24] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  24] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  18] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank  18] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   8] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank  18] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   3] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   3] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   9] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank   8] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   8] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank  33] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:04 [rank   9] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:04 [rank   9] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  33] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  33] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  42] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  39] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  42] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  42] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  19] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  12] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  39] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  39] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   2] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  27] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   2] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   2] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  37] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  27] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  27] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  37] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  37] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  13] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  10] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  24] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  13] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  13] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   7] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  10] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  10] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   3] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  11] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  18] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  40] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
