==========================================================
PIC calculation: SUC
Job: 149   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 10:54:20 AM EDT 2026
GRO: aav1/md/md.gro
XTC: aav1/md/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
==========================================================
10:54:46 [rank   0] INFO ======================================================================
10:54:46 [rank   0] INFO PIC (Gamma_23) calculation -- Shukla et al. 2009 method
10:54:46 [rank   0] INFO gro=aav1/md/md.gro xtc=aav1/md/md_noPBC.xtc excipient=SUC radius=20.00 A charge=0.000
10:54:46 [rank   0] INFO MPI ranks: 48
10:54:51 [rank   1] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:51 [rank   1] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank   1] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  35] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:51 [rank  22] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:51 [rank  35] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  35] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  16] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:51 [rank  22] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  22] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  16] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  16] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  46] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:51 [rank  46] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:51 [rank  46] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  47] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  47] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  47] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   3] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   3] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   3] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  23] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  23] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  23] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  45] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   1] INFO assigned 1 frames (local index 1:2)
10:54:52 [rank  45] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  45] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  20] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  35] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  22] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  20] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  20] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  16] INFO assigned 1 frames (local index 16:17)
10:54:52 [rank  13] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  13] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  46] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  13] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  36] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  24] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  36] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  36] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   8] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  47] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  24] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  24] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   8] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   8] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  27] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  27] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  27] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   3] INFO assigned 1 frames (local index 3:4)
10:54:52 [rank  23] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  45] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  28] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  41] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  20] INFO assigned 1 frames (local index 20:21)
10:54:52 [rank  41] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  28] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  41] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  28] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  13] INFO assigned 1 frames (local index 13:14)
10:54:52 [rank  38] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  38] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  38] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  12] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  12] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  34] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  12] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  31] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  29] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  34] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  34] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  31] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  36] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  31] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  24] INFO assigned 0 frames (local index 21:21)
