==========================================================
PIC calculation: SUC
Job: 150   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 11:10:10 AM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
==========================================================
11:10:29 [rank   0] INFO ======================================================================
11:10:29 [rank   0] INFO PIC (Gamma_23) calculation -- Shukla et al. 2009 method
11:10:29 [rank   0] INFO gro=aav1/benchmark/md.gro xtc=aav1/benchmark/md_noPBC.xtc excipient=SUC radius=20.00 A charge=0.000
11:10:29 [rank   0] INFO MPI ranks: 48
11:10:38 [rank  11] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  11] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  11] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  17] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  17] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  17] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  11] INFO assigned 42 frames (local index 462:504)
11:10:38 [rank  30] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  30] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  30] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  32] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  32] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  32] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  39] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  39] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  39] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  20] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank   2] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  20] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  20] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   2] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   2] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  17] INFO assigned 42 frames (local index 714:756)
11:10:38 [rank  33] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank   8] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  33] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  33] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
