r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.570309070707666308e+02,1.824584037805303538e-01
2.000000000000000111e-01,-1.658693931299421536e+02,2.051501410098601208e-01
3.000000000000000444e-01,-1.739473442404111552e+02,2.353519254360282587e-01
4.000000000000000222e-01,-1.811376226709037383e+02,2.739674911228603404e-01
5.000000000000000000e-01,-1.874262812068308222e+02,3.161319792020110264e-01
6.000000000000000888e-01,-1.926142792952183811e+02,3.604479197110616595e-01
7.000000000000000666e-01,-1.965377704688718836e+02,4.113777242180166049e-01
8.000000000000000444e-01,-1.991246234519040286e+02,4.632777024619491590e-01
9.000000000000000222e-01,-2.005864164804416703e+02,5.194466556416855729e-01
1.000000000000000000e+00,-2.007248150528888289e+02,5.773460294622222433e-01
1.100000000000000089e+00,-1.996883055704585104e+02,6.422058385867126518e-01
1.200000000000000178e+00,-1.976742637197355634e+02,7.073223243570588847e-01
1.300000000000000044e+00,-1.948252183693097663e+02,7.728764132966781109e-01
1.400000000000000133e+00,-1.906639486278873505e+02,8.400411608585414136e-01
1.500000000000000000e+00,-1.858219120338633275e+02,9.036785615565839924e-01
1.600000000000000089e+00,-1.803142618753732336e+02,9.664039407188230735e-01
1.700000000000000178e+00,-1.741198090913502767e+02,1.029098483686704757e+00
1.800000000000000044e+00,-1.677479842529491236e+02,1.089109715179391813e+00
1.900000000000000133e+00,-1.606499965308596245e+02,1.155219578619117282e+00
2.000000000000000000e+00,-1.531884344282407255e+02,1.219500999026640997e+00
2.100000000000000089e+00,-1.450865623751076612e+02,1.280898696353440780e+00
2.200000000000000178e+00,-1.368501589927844577e+02,1.345622402511483795e+00
2.300000000000000266e+00,-1.285530230947555310e+02,1.409064077525496339e+00
2.400000000000000355e+00,-1.198992084206918634e+02,1.475003810643084501e+00
2.500000000000000000e+00,-1.113174067209315012e+02,1.542888755135122247e+00
2.600000000000000089e+00,-1.028327121106052715e+02,1.607487474340651756e+00
2.700000000000000178e+00,-9.469633289815710953e+01,1.671640364921245903e+00
2.800000000000000266e+00,-8.660298315165489669e+01,1.735949953405679480e+00
2.900000000000000355e+00,-7.844428865131988005e+01,1.799923087157473622e+00
3.000000000000000000e+00,-7.043637955733146327e+01,1.857742341239243533e+00
3.100000000000000089e+00,-6.265664323194421570e+01,1.918831470975326248e+00
3.200000000000000178e+00,-5.528305078862386068e+01,1.980640864172136251e+00
3.300000000000000266e+00,-4.856769216719495574e+01,2.040455460981785762e+00
3.400000000000000355e+00,-4.143275548616914250e+01,2.092080158571947290e+00
3.500000000000000000e+00,-3.503434460577426535e+01,2.145818012641665717e+00
3.600000000000000089e+00,-2.893714274193780511e+01,2.199241371353156449e+00
3.700000000000000178e+00,-2.345485543717506971e+01,2.244971282414164548e+00
3.800000000000000266e+00,-1.863975950594173270e+01,2.282262914950803356e+00
3.900000000000000355e+00,-1.422498967198752950e+01,2.324831433918035817e+00
4.000000000000000000e+00,-1.054718742546260479e+01,2.370470612138706468e+00
4.100000000000000533e+00,-7.403360504972233080e+00,2.406727119996460384e+00
4.200000000000000178e+00,-4.970042109241916251e+00,2.441109514174120143e+00
4.299999999999999822e+00,-2.926543300689425475e+00,2.474336278629346797e+00
4.400000000000000355e+00,-1.583064092310976223e+00,2.509099490404322452e+00
4.500000000000000000e+00,-5.856246117759079661e-01,2.541692293079751863e+00
4.600000000000000533e+00,1.329223982429902640e-01,2.572921431659813241e+00
4.700000000000000178e+00,5.754002505454446359e-01,2.604255568235483320e+00
4.800000000000000711e+00,6.185608621266043272e-01,2.633198594693767269e+00
