group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
flag:is_polar,15,20,15165,31000,0.75,0.4891935483870968,1.533135509396637,3.132542037586548,0.016378419946019247,True
class:Polar_uncharged,9,20,9351,31000,0.45,0.3016451612903226,1.4918190567853704,1.894216466882492,0.11670485803081042,False
class:Basic,4,20,3176,31000,0.2,0.10245161290322581,1.9521410579345089,2.190176322418136,0.14205763815605796,False
type:LYS,2,20,1138,31000,0.1,0.03670967741935484,2.724077328646749,2.9156414762741654,0.16620513730954728,False
type:ARG,2,20,1258,31000,0.1,0.04058064516129032,2.46422893481717,2.6269210386857447,0.1941559791741383,False
type:THR,3,20,2457,31000,0.15,0.07925806451612903,1.8925518925518925,2.05006105006105,0.20832695438827123,False
type:SER,3,20,2757,31000,0.15,0.08893548387096774,1.6866158868335146,1.8077833962747232,0.26083852731721535,False
type:TRP,1,20,719,31000,0.05,0.023193548387096773,2.1557719054242006,2.2166020057096847,0.37489429333414176,False
class:Aromatic,3,20,3957,31000,0.15,0.12764516129032258,1.1751326762699015,1.2060384426704722,0.4793419907236675,False
type:ASN,2,20,2638,31000,0.1,0.08509677419354839,1.1751326762699015,1.1945918625221128,0.517174450163237,False
class:Acidic,2,20,2638,31000,0.1,0.08509677419354839,1.1751326762699015,1.1945918625221128,0.517174450163237,False
type:GLU,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
flag:is_aromatic,3,20,4737,31000,0.15,0.15280645161290324,0.9816339455351487,0.9783928771001751,0.6086655648654948,False
type:TYR,1,20,1439,31000,0.05,0.046419354838709674,1.0771369006254345,1.0811967375004572,0.6136348281793017,False
type:ASP,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
type:GLN,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
type:VAL,1,20,1619,31000,0.05,0.052225806451612906,0.9573810994441013,0.9551379994148435,0.6580488259086015,False
type:PHE,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
type:ALA,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
class:Aliphatic,2,20,6538,31000,0.1,0.2109032258064516,0.47415111654940356,0.41572346283267053,0.9443750578182943,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:GLY,0,20,2220,31000,0.0,0.07161290322580645,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
class:Special,0,20,4380,31000,0.0,0.14129032258064517,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
