region_type,region_index,chain,axis_x,axis_y,axis_z
5F,0,0,0.04969166875607455,0.5780700359432062,0.8144726954299062
5F,0,1,0.04969166875607455,0.5780700359432062,0.8144726954299062
5F,0,2,0.04969166875607455,0.5780700359432062,0.8144726954299062
5F,0,3,0.04969166875607455,0.5780700359432062,0.8144726954299062
5F,0,4,0.04969166875607455,0.5780700359432062,0.8144726954299062
5F,1,5,-0.08390523762919115,-0.46523751910648325,0.8812002961381898
5F,1,6,-0.08390523762919115,-0.46523751910648325,0.8812002961381898
5F,1,7,-0.08390523762919115,-0.46523751910648325,0.8812002961381898
5F,1,8,-0.08390523762919115,-0.46523751910648325,0.8812002961381898
5F,1,9,-0.08390523762919115,-0.46523751910648325,0.8812002961381898
5F,2,10,0.08281441311898176,0.4649275711485799,-0.8814670309011227
5F,2,11,0.08281441311898176,0.4649275711485799,-0.8814670309011227
5F,2,12,0.08281441311898176,0.4649275711485799,-0.8814670309011227
5F,2,13,0.08281441311898176,0.4649275711485799,-0.8814670309011227
5F,2,14,0.08281441311898176,0.4649275711485799,-0.8814670309011227
5F,3,15,-0.04442246129692958,-0.5769451033114867,-0.8155740264974239
5F,3,16,-0.04442246129692958,-0.5769451033114867,-0.8155740264974239
5F,3,17,-0.04442246129692958,-0.5769451033114867,-0.8155740264974239
5F,3,18,-0.04442246129692958,-0.5769451033114867,-0.8155740264974239
5F,3,19,-0.04442246129692958,-0.5769451033114867,-0.8155740264974239
5F,4,20,0.8329560080425036,-0.06640523428085644,0.5493401801488778
5F,4,21,0.8329560080425036,-0.06640523428085644,0.5493401801488778
5F,4,22,0.8329560080425036,-0.06640523428085644,0.5493401801488778
5F,4,23,0.8329560080425036,-0.06640523428085644,0.5493401801488778
5F,4,24,0.8329560080425036,-0.06640523428085644,0.5493401801488778
5F,5,25,0.8560989829336392,-0.1335437952762767,-0.4992600386203532
5F,5,26,0.8560989829336392,-0.1335437952762767,-0.4992600386203532
5F,5,27,0.8560989829336392,-0.1335437952762767,-0.4992600386203532
5F,5,28,0.8560989829336392,-0.1335437952762767,-0.4992600386203532
5F,5,29,0.8560989829336392,-0.1335437952762767,-0.4992600386203532
5F,6,30,-0.8558041939949771,0.135598478601393,0.4992116125868819
5F,6,31,-0.8558041939949771,0.135598478601393,0.4992116125868819
5F,6,32,-0.8558041939949771,0.135598478601393,0.4992116125868819
5F,6,33,-0.8558041939949771,0.135598478601393,0.4992116125868819
5F,6,34,-0.8558041939949771,0.135598478601393,0.4992116125868819
5F,7,35,-0.8328843211252893,0.06455847938474364,-0.5496689097658658
5F,7,36,-0.8328843211252893,0.06455847938474364,-0.5496689097658658
5F,7,37,-0.8328843211252893,0.06455847938474364,-0.5496689097658658
5F,7,38,-0.8328843211252893,0.06455847938474364,-0.5496689097658658
5F,7,39,-0.8328843211252893,0.06455847938474364,-0.5496689097658658
5F,8,40,0.6247649877113078,0.7798529682674059,-0.03870475441861937
5F,8,41,0.6247649877113078,0.7798529682674059,-0.03870475441861937
5F,8,42,0.6247649877113078,0.7798529682674059,-0.03870475441861937
5F,8,43,0.6247649877113078,0.7798529682674059,-0.03870475441861937
5F,8,44,0.6247649877113078,0.7798529682674059,-0.03870475441861937
5F,9,45,-0.4187154703085144,0.9054641036327886,-0.06936938774985833
5F,9,46,-0.4187154703085144,0.9054641036327886,-0.06936938774985833
5F,9,47,-0.4187154703085144,0.9054641036327886,-0.06936938774985833
5F,9,48,-0.4187154703085144,0.9054641036327886,-0.06936938774985833
5F,9,49,-0.4187154703085144,0.9054641036327886,-0.06936938774985833
5F,10,50,0.4191627058884702,-0.9052492589352936,0.06947233398524555
5F,10,51,0.4191627058884702,-0.9052492589352936,0.06947233398524555
5F,10,52,0.4191627058884702,-0.9052492589352936,0.06947233398524555
5F,10,53,0.4191627058884702,-0.9052492589352936,0.06947233398524555
5F,10,54,0.4191627058884702,-0.9052492589352936,0.06947233398524555
5F,11,55,-0.6247140164703222,-0.7799442542554592,0.037674366343889834
5F,11,56,-0.6247140164703222,-0.7799442542554592,0.037674366343889834
5F,11,57,-0.6247140164703222,-0.7799442542554592,0.037674366343889834
5F,11,58,-0.6247140164703222,-0.7799442542554592,0.037674366343889834
5F,11,59,-0.6247140164703222,-0.7799442542554592,0.037674366343889834
3F,0,0,0.3356753301199568,0.01791391452374388,0.9418073924191156
3F,0,9,0.3356753301199568,0.01791391452374388,0.9418073924191156
3F,0,22,0.3356753301199568,0.01791391452374388,0.9418073924191156
3F,1,1,0.6310604252740372,0.5424602706730447,0.5545264595979875
