region_type,region_index,n,mean,std,min,max,sem
3F,0,234,-0.11353873929741719,0.7303372517379336,-1.5322162298418627,2.53689948843005,0.04774363971942884
3F,1,231,-0.5076236600422407,0.6162258542276555,-1.7945660657700182,1.2498142509436847,0.04054468452671175
3F,2,236,-0.09246673873171105,1.0180919246149551,-1.69760624301363,3.8902084089761932,0.06627213947199602
3F,3,248,0.08087894577087928,1.084795485543688,-1.42090175422023,4.345547595858003,0.06888458221664086
3F,4,220,-0.23824694721971712,0.8167678022808749,-1.3627735998598847,3.9607495838674893,0.05506647399621704
3F,5,222,0.306866105789094,1.208844672073145,-1.2070352133202358,5.383420521324191,0.08113234214751028
3F,6,247,-0.36254001082351406,0.7116001910010532,-1.9898848144772812,1.5726048593250612,0.04527803588646233
3F,7,241,-0.24489200252051158,0.622029763801438,-1.610197139606194,1.4944425749441603,0.040068459417123996
3F,8,240,-0.2348899344429142,0.8356529757247504,-1.657737293811436,2.833868415346044,0.05394116763651048
3F,9,225,-0.40338370892813424,0.7532756172499012,-1.5396199633226944,3.0031806799449443,0.05021837448332675
3F,10,213,0.04259322196292854,0.7673224687548237,-1.2703531307393472,3.401232510959697,0.052576069238779416
3F,11,232,-0.274117136938318,0.7337009852926792,-1.415132047722165,2.234197090207783,0.04816982958222273
3F,12,222,0.43524388709445966,1.2610416230046373,-1.2971350952612162,4.6753109152048715,0.08463557211564832
3F,13,233,-0.12084339110258996,0.8005534993996529,-1.4122326004416763,2.359170171624666,0.05244600351774158
3F,14,236,-0.22272602792762536,0.7719217976275844,-1.3014159706271806,2.0036573631821226,0.05024782909774756
3F,15,245,-0.2180358273969253,0.7600305471738955,-1.6528866792923647,1.9794295323405056,0.04855657052734831
3F,16,249,0.08027184835511365,1.002386796387448,-1.241284050173399,3.7011307719475726,0.0635236821276268
3F,17,244,-0.31151924737293624,0.746238980740861,-1.7538452174910586,2.8880698977812744,0.047773055389182154
3F,18,241,0.14137498570293447,1.4007195390986942,-1.5464600131150332,6.377606796948539,0.09022827728395415
3F,19,244,0.09659041926197572,1.054215648557078,-1.381270911373182,4.970580560083494,0.06748924120884132
5F,0,86,-0.270606217771846,0.6145170068052139,-1.6923339919764069,0.8753657890824091,0.06626507302448245
5F,1,83,0.5997311834938401,0.9044945107989615,-0.5821765657854339,3.1107655383888537,0.09928117064258499
5F,2,85,-0.41362941858880725,0.4966181102426651,-1.2207327508431083,0.9717223284095619,0.0538657970079886
5F,3,85,0.11669822355282113,1.1048655503941973,-1.3860492743909483,3.1778023139431935,0.11983949483753738
5F,4,85,-0.3037759174957688,0.4357641595133357,-1.0295163965893526,0.9133531374118784,0.047265259312094916
5F,5,85,0.19367756007670217,0.666534939573126,-1.040594634486954,2.0587484738992123,0.07229586479686428
5F,6,83,-0.2307182073427011,0.7723870326171093,-1.5886519876075234,1.8204033621523816,0.08478049106084982
5F,7,86,-0.33295191429394444,0.6132827888689214,-1.2028580483322207,1.4940896257342997,0.0661319838816746
5F,8,85,-0.6131936430253385,0.30993846758759086,-1.379254040759322,-0.06677353658592118,0.03361754683469441
5F,9,86,-0.2748142992134674,0.5581969581612141,-1.3594482520889128,1.009149893795982,0.060191925992247396
5F,10,86,-0.39269610102548974,0.4118088032090546,-1.4240470176737599,0.3829162887852461,0.044406485279621384
5F,11,84,0.13295872959308033,0.48939952855623525,-1.0816281459671317,1.1762612152636593,0.053397866302015484
