region_type,length_center_A,count
3F,2.425,0
3F,2.475,2
3F,2.525,18
3F,2.575,76
3F,2.625,333
3F,2.675,927
3F,2.725,2240
3F,2.775,4347
3F,2.825,6722
3F,2.875,9253
3F,2.925,11413
3F,2.975,12681
3F,3.025,13090
3F,3.075,12995
3F,3.125,12064
3F,3.175,11496
3F,3.225,10800
3F,3.275,10066
3F,3.325,9000
3F,3.375,8198
3F,3.425,7775
3F,3.475,7223
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,6
5F,2.575,32
5F,2.625,121
5F,2.675,321
5F,2.725,812
5F,2.775,1477
5F,2.825,2395
5F,2.875,3278
5F,2.925,3981
5F,2.975,4557
5F,3.025,4685
5F,3.075,4696
5F,3.125,4482
5F,3.175,4191
5F,3.225,3825
5F,3.275,3675
5F,3.325,3371
5F,3.375,3068
5F,3.425,2852
5F,3.475,2603
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,4
neither,2.625,11
neither,2.675,31
neither,2.725,73
neither,2.775,149
neither,2.825,250
neither,2.875,317
neither,2.925,393
neither,2.975,481
neither,3.025,510
neither,3.075,432
neither,3.125,487
neither,3.175,457
neither,3.225,422
neither,3.275,355
neither,3.325,319
neither,3.375,302
neither,3.425,267
neither,3.475,252
neither,3.525,0
neither,3.575,0
