region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,4
3F,2.625,25
3F,2.675,89
3F,2.725,200
3F,2.775,371
3F,2.825,633
3F,2.875,832
3F,2.925,1052
3F,2.975,1198
3F,3.025,1321
3F,3.075,1293
3F,3.125,1302
3F,3.175,1211
3F,3.225,1082
3F,3.275,988
3F,3.325,906
3F,3.375,800
3F,3.425,793
3F,3.475,734
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,2
5F,2.625,22
5F,2.675,70
5F,2.725,118
5F,2.775,220
5F,2.825,293
5F,2.875,345
5F,2.925,406
5F,2.975,458
5F,3.025,470
5F,3.075,450
5F,3.125,400
5F,3.175,408
5F,3.225,315
5F,3.275,311
5F,3.325,290
5F,3.375,267
5F,3.425,212
5F,3.475,215
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,1
neither,2.675,3
neither,2.725,13
neither,2.775,22
neither,2.825,26
neither,2.875,26
neither,2.925,42
neither,2.975,37
neither,3.025,50
neither,3.075,43
neither,3.125,33
neither,3.175,40
neither,3.225,39
neither,3.275,28
neither,3.325,31
neither,3.375,24
neither,3.425,29
neither,3.475,25
neither,3.525,0
neither,3.575,0
