r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
0.25,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.25,2.4,0.0,2.4,2.4
2.75,0.2,2.2,-2.0,0.3999999999999999
3.25,0.0,55.4,-55.4,-55.0
3.75,0.6,18.6,-18.0,-73.0
4.25,2.6,23.0,-20.4,-93.4
4.75,1.0,25.2,-24.2,-117.60000000000001
5.25,0.8,19.4,-18.6,-136.20000000000002
5.75,1.8,18.2,-16.4,-152.60000000000002
6.25,2.4,15.8,-13.4,-166.00000000000003
6.75,4.0,18.4,-14.4,-180.40000000000003
7.25,1.8,14.2,-12.4,-192.80000000000004
7.75,4.0,11.6,-7.6,-200.40000000000003
8.25,2.4,9.6,-7.2,-207.60000000000002
8.75,3.8,11.6,-7.8,-215.40000000000003
9.25,2.6,10.8,-8.2,-223.60000000000002
9.75,1.0,7.6,-6.6,-230.20000000000002
10.25,3.0,10.8,-7.8,-238.00000000000003
10.75,2.0,10.2,-8.2,-246.20000000000002
11.25,1.6,13.2,-11.6,-257.8
11.75,1.6,10.2,-8.6,-266.40000000000003
12.25,2.6,9.0,-6.4,-272.8
12.75,2.6,8.8,-6.2,-279.0
13.25,2.4,9.2,-6.8,-285.8
13.75,3.0,9.0,-6.0,-291.8
14.25,3.0,10.0,-7.0,-298.8
14.75,3.0,9.4,-6.4,-305.2
15.25,3.0,11.0,-8.0,-313.2
15.75,2.0,10.0,-8.0,-321.2
16.25,3.8,10.8,-7.0,-328.2
16.75,5.8,8.6,-2.8,-331.0
17.25,4.6,7.2,-2.6,-333.6
17.75,3.4,9.4,-6.0,-339.6
18.25,4.8,8.6,-3.8,-343.40000000000003
18.75,5.2,10.8,-5.6,-349.00000000000006
19.25,5.8,9.4,-3.6,-352.6000000000001
19.75,4.0,5.6,-1.6,-354.2000000000001
20.25,4.0,8.2,-4.2,-358.4000000000001
20.75,4.8,8.6,-3.8,-362.2000000000001
21.25,5.0,10.0,-5.0,-367.2000000000001
21.75,5.2,7.6,-2.4,-369.6000000000001
22.25,4.6,8.2,-3.6,-373.2000000000001
22.75,5.0,7.8,-2.8,-376.0000000000001
23.25,4.2,7.6,-3.4,-379.4000000000001
23.75,5.4,7.8,-2.4,-381.80000000000007
24.25,5.0,6.6,-1.6,-383.4000000000001
24.75,6.2,8.2,-2.0,-385.4000000000001
25.25,4.4,9.2,-4.8,-390.2000000000001
25.75,5.0,9.0,-4.0,-394.2000000000001
26.25,4.4,8.6,-4.2,-398.4000000000001
26.75,4.2,9.4,-5.2,-403.6000000000001
27.25,6.0,9.2,-3.2,-406.80000000000007
27.75,6.6,8.4,-1.8,-408.6000000000001
28.25,6.6,9.4,-2.8,-411.4000000000001
28.75,4.0,6.2,-2.2,-413.6000000000001
29.25,8.2,8.6,-0.4,-414.00000000000006
29.75,4.8,7.4,-2.6,-416.6000000000001
