r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
0.25,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.25,18.2,0.0,18.2,18.2
2.75,4.6,0.6,4.0,22.2
3.25,1.2,6.0,-4.8,17.4
3.75,12.0,1.0,11.0,28.4
4.25,30.8,0.8,30.0,58.4
4.75,31.0,2.2,28.8,87.2
5.25,19.6,0.6,19.0,106.2
5.75,16.0,1.4,14.6,120.8
6.25,14.8,2.4,12.4,133.2
6.75,15.4,2.0,13.4,146.6
7.25,14.2,2.2,12.0,158.6
7.75,13.0,2.4,10.6,169.2
8.25,15.8,1.6,14.2,183.39999999999998
8.75,11.4,3.8,7.6,190.99999999999997
9.25,12.8,3.6,9.2,200.19999999999996
9.75,9.8,2.8,7.0,207.19999999999996
10.25,11.2,3.2,8.0,215.19999999999996
10.75,11.8,4.4,7.4,222.59999999999997
11.25,10.4,3.4,7.0,229.59999999999997
11.75,11.4,2.6,8.8,238.39999999999998
12.25,10.6,2.2,8.4,246.79999999999998
12.75,9.0,4.6,4.4,251.2
13.25,10.6,4.0,6.6,257.8
13.75,8.6,3.2,5.4,263.2
14.25,8.0,3.2,4.8,268.0
14.75,8.4,3.0,5.4,273.4
15.25,7.8,3.0,4.8,278.2
15.75,6.0,5.2,0.8,279.0
16.25,9.6,2.8,6.8,285.8
16.75,8.4,3.8,4.6,290.40000000000003
17.25,9.4,4.2,5.2,295.6
17.75,12.6,4.4,8.2,303.8
18.25,10.0,5.0,5.0,308.8
18.75,7.8,5.0,2.8,311.6
19.25,12.4,3.4,9.0,320.6
19.75,8.4,3.6,4.8,325.40000000000003
20.25,7.8,3.6,4.2,329.6
20.75,11.4,3.8,7.6,337.20000000000005
21.25,8.4,4.0,4.4,341.6
21.75,8.8,5.8,3.0,344.6
22.25,8.8,6.0,2.8,347.40000000000003
22.75,9.6,5.2,4.4,351.8
23.25,7.8,5.2,2.6,354.40000000000003
23.75,10.2,5.8,4.4,358.8
24.25,9.6,8.0,1.6,360.40000000000003
24.75,5.2,4.4,0.8,361.20000000000005
25.25,9.4,6.6,2.8,364.00000000000006
25.75,6.4,5.6,0.8,364.80000000000007
26.25,8.0,6.8,1.2,366.00000000000006
26.75,6.4,7.2,-0.8,365.20000000000005
27.25,8.2,6.2,2.0,367.20000000000005
27.75,9.6,7.6,2.0,369.20000000000005
28.25,7.0,5.4,1.6,370.80000000000007
28.75,8.6,6.8,1.8,372.6000000000001
29.25,7.8,9.0,-1.2,371.4000000000001
29.75,9.0,6.4,2.6,374.0000000000001
