r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.322613036952671735e+02,1.069700420819221787e-01
2.000000000000000111e-01,-1.394336987576683669e+02,1.197010397784446234e-01
3.000000000000000444e-01,-1.460317551169493129e+02,1.375091126049530488e-01
4.000000000000000222e-01,-1.518472531752340444e+02,1.651053867146162202e-01
5.000000000000000000e-01,-1.569794267551832831e+02,1.918427182166912714e-01
6.000000000000000888e-01,-1.612180905475535440e+02,2.278210220741003766e-01
7.000000000000000666e-01,-1.644026835954463195e+02,2.677055339867011607e-01
8.000000000000000444e-01,-1.666998447109002655e+02,3.057764623279232707e-01
9.000000000000000222e-01,-1.675776181048761941e+02,3.542610262902521345e-01
1.000000000000000000e+00,-1.674344182070885552e+02,4.135436676974606485e-01
1.100000000000000089e+00,-1.663085891464857582e+02,4.804772244274125859e-01
1.200000000000000178e+00,-1.640112077090665252e+02,5.502215229287448217e-01
1.300000000000000044e+00,-1.609006375035952487e+02,6.250514936974851388e-01
1.400000000000000133e+00,-1.569306839013939907e+02,6.991784522473735164e-01
1.500000000000000000e+00,-1.524011216631043908e+02,7.666514201772138826e-01
1.600000000000000089e+00,-1.473974408021604461e+02,8.327656741446618494e-01
1.700000000000000178e+00,-1.422472130639882266e+02,8.919878695168667049e-01
1.800000000000000044e+00,-1.368983950921359565e+02,9.456412841372571210e-01
1.900000000000000133e+00,-1.310543247498555672e+02,9.951349269498808159e-01
2.000000000000000000e+00,-1.250930696032134364e+02,1.047600145860504206e+00
2.100000000000000089e+00,-1.186245423610952514e+02,1.099033843496282081e+00
2.200000000000000178e+00,-1.121874685730866474e+02,1.147560720049562555e+00
2.300000000000000266e+00,-1.056773475362076340e+02,1.196918297527970854e+00
2.400000000000000355e+00,-9.882600098336028793e+01,1.243539275410465939e+00
2.500000000000000000e+00,-9.197539242528863213e+01,1.284529008966358576e+00
2.600000000000000089e+00,-8.495530530871356234e+01,1.329966463341200722e+00
2.700000000000000178e+00,-7.817380396263499165e+01,1.369709068520991835e+00
2.800000000000000266e+00,-7.130277831154199930e+01,1.411268184731389264e+00
2.900000000000000355e+00,-6.484089946510965774e+01,1.454085486383716042e+00
3.000000000000000000e+00,-5.837057361175389758e+01,1.489432500080513755e+00
3.100000000000000089e+00,-5.182063676723450385e+01,1.523552263341206858e+00
3.200000000000000178e+00,-4.550704626384239049e+01,1.564950579939689224e+00
3.300000000000000266e+00,-3.957887594861707470e+01,1.598017970137798338e+00
3.400000000000000355e+00,-3.391353809529010732e+01,1.628746309830893857e+00
3.500000000000000000e+00,-2.854364599046299134e+01,1.662113035290021523e+00
3.600000000000000089e+00,-2.334595375642701853e+01,1.693490312853875412e+00
3.700000000000000178e+00,-1.873192996240919328e+01,1.721665547496246118e+00
3.800000000000000266e+00,-1.460024437689847154e+01,1.756167909597827315e+00
3.900000000000000355e+00,-1.111184677320589564e+01,1.777273661198355725e+00
4.000000000000000000e+00,-7.928303817887877081e+00,1.803245713776600923e+00
4.100000000000000533e+00,-5.410577011654850388e+00,1.830928927356172187e+00
4.200000000000000178e+00,-3.082219143149284246e+00,1.847881356015928622e+00
4.299999999999999822e+00,-1.445161328509133369e+00,1.867873452408442603e+00
4.400000000000000355e+00,-1.454636919169952636e-01,1.888233681807135023e+00
4.500000000000000000e+00,9.501500369684230396e-01,1.906801498317584942e+00
4.600000000000000533e+00,1.601478945318600244e+00,1.922986042254528405e+00
4.700000000000000178e+00,2.103022607726026116e+00,1.941496107063148457e+00
4.800000000000000711e+00,2.266074392339403332e+00,1.956881739221538741e+00
4.900000000000000355e+00,2.308374330095587013e+00,1.969167899397658461e+00
5.000000000000000000e+00,2.090388497383913080e+00,1.977965653720815453e+00
5.100000000000000533e+00,2.034117953142122293e+00,1.991295657629196914e+00
5.200000000000000178e+00,1.826597590838418439e+00,2.005680028578948892e+00
5.300000000000000711e+00,1.442586775069658822e+00,2.021058661862554118e+00
5.400000000000000355e+00,1.047129900827007853e+00,2.029914427565103541e+00
5.500000000000000000e+00,6.524694844736006472e-01,2.042897100577404146e+00
5.600000000000000533e+00,2.238443891609323555e-01,2.056661800690606334e+00
5.700000000000000178e+00,1.055024626244243785e-01,2.071088174815974181e+00
5.800000000000000711e+00,-1.430953472447070440e-01,2.083530594638036693e+00
5.900000000000000355e+00,-2.730101495787214949e-01,2.098803733526906079e+00
6.000000000000000000e+00,-5.112875223671331515e-01,2.108675583300371414e+00
6.100000000000000533e+00,-6.857127069588686563e-01,2.117879036279008087e+00
6.200000000000000178e+00,-6.284360736103985490e-01,2.129199301699330693e+00
6.300000000000000711e+00,-6.815983750559396759e-01,2.143027573859630941e+00
6.400000000000000355e+00,-6.769826222982672226e-01,2.155659546890200229e+00
6.500000000000000000e+00,-7.954997206170637547e-01,2.165849973591322364e+00
6.600000000000000533e+00,-6.444815011049183084e-01,2.173347478961601187e+00
6.700000000000000178e+00,-4.959151511961877312e-01,2.184987921783381637e+00
6.800000000000000711e+00,-4.814450828588352493e-01,2.201923490642997638e+00
6.900000000000000355e+00,-3.350296908735057588e-01,2.211969679247608234e+00
7.000000000000000000e+00,-2.402447105338363642e-01,2.222591437497480449e+00
7.100000000000000533e+00,-1.738098274374013652e-01,2.228010502849102181e+00
7.200000000000000178e+00,-1.863750675281746622e-02,2.239209001110584296e+00
7.300000000000000711e+00,5.694055079716285606e-02,2.247527784687695540e+00
7.400000000000000355e+00,6.906688920043761726e-02,2.252741203619476718e+00
7.500000000000000000e+00,2.102503410068485290e-01,2.262820931440284511e+00
7.600000000000000533e+00,1.886598839986114995e-01,2.266367478292900639e+00
7.700000000000000178e+00,2.985636284839591759e-01,2.269738828430190036e+00
7.800000000000000711e+00,1.961724114123892249e-01,2.277365878386530706e+00
7.900000000000000355e+00,-5.234034111001872012e-03,2.284540838302300703e+00
8.000000000000000000e+00,-1.343266444140159832e-01,2.289337926164761949e+00
8.099999999999999645e+00,-1.688129668381171677e-01,2.290160730863659566e+00
