group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:ALA,4,20,1796,30850,0.2,0.05821717990275527,3.435412026726058,4.044265033407572,0.026363544075487796,True
class:Polar_uncharged,10,20,9350,30850,0.5,0.30307941653160453,1.6497326203208558,2.299465240641711,0.05128331094048572,False
type:SER,4,20,2756,30850,0.2,0.0893354943273906,2.2387518142235123,2.5484397677793904,0.09742332334953165,False
flag:is_polar,13,20,15017,30850,0.65,0.48677471636952996,1.3353199706998735,1.9580570591424957,0.10792980086528225,False
type:ARG,2,20,1258,30850,0.1,0.04077795786061588,2.4523052464228936,2.6136724960254374,0.19560132081135068,False
type:GLN,2,20,1498,30850,0.1,0.048557536466774714,2.0594125500667557,2.1771250556297286,0.2535256271859853,False
class:Basic,3,20,3027,30850,0.15,0.09811993517017828,1.528741328047572,1.6220486212324374,0.31254143768441894,False
type:TRP,1,20,719,30850,0.05,0.023306320907617504,2.1453407510431157,2.2056218432032795,0.37633714356956055,False
type:HIS,1,20,779,30850,0.05,0.025251215559157214,1.9801026957637997,2.031687048172421,0.4007033568435587,False
type:GLY,2,20,2218,30850,0.1,0.07189627228525121,1.390892696122633,1.4343252179140367,0.426909178974394,False
type:THR,2,20,2458,30850,0.1,0.07967585089141005,1.2550854353132628,1.283428261459181,0.4810910178522661,False
type:ASN,2,20,2638,30850,0.1,0.08551053484602918,1.1694465504169826,1.1882739449077584,0.5198682768238594,False
class:Aliphatic,4,20,6536,30850,0.2,0.21186385737439223,0.9440024479804162,0.9300030599755202,0.638741987837215,False
class:Special,2,20,4378,30850,0.1,0.14191247974068072,0.7046596619460941,0.6718440688289935,0.7982240945729058,False
flag:is_aromatic,2,20,4738,30850,0.1,0.15358184764991897,0.6511186154495567,0.6123540171661742,0.8351029813249615,False
class:Aromatic,1,20,3959,30850,0.05,0.12833063209076176,0.38961859055317,0.35749325321386316,0.9358572117653184,False
type:MET,0,20,660,30850,0.0,0.02139384116693679,0.0,0.0,1.0,False
type:GLU,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:LEU,0,20,1980,30850,0.0,0.06418152350081037,0.0,0.0,1.0,False
type:TYR,0,20,1440,30850,0.0,0.046677471636952995,0.0,0.0,1.0,False
type:ASP,0,20,1500,30850,0.0,0.04862236628849271,0.0,0.0,1.0,False
type:PRO,0,20,2160,30850,0.0,0.0700162074554295,0.0,0.0,1.0,False
type:LYS,0,20,990,30850,0.0,0.032090761750405185,0.0,0.0,1.0,False
type:CYS,0,20,300,30850,0.0,0.009724473257698542,0.0,0.0,1.0,False
type:VAL,0,20,1620,30850,0.0,0.05251215559157212,0.0,0.0,1.0,False
type:PHE,0,20,1800,30850,0.0,0.05834683954619125,0.0,0.0,1.0,False
type:ILE,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
class:Acidic,0,20,2640,30850,0.0,0.08557536466774716,0.0,0.0,1.0,False
flag:is_charged,20,20,30850,30850,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,30850,0.0,0.03111831442463533,0.0,0.0,1.0,False
