condition_label,formulation,block,pH,NaCl_mM,sucrose_pct,region_type,region_index,n_residues,gamma23_mean_perresidue,gamma23_total
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,0,247,0.019319,4.7718
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,1,261,0.013971,3.6464
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,2,221,0.103138,22.7935
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,3,252,0.239839,60.4395
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,4,249,-0.284311,-70.7934
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,5,243,0.163827,39.8099
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,6,252,-0.092979,-23.4307
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,7,245,0.199017,48.7592
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,8,251,0.151557,38.0407
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,9,266,-0.099472,-26.4594
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,10,235,0.039616,9.3097
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,11,241,-0.084357,-20.3301
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,12,238,-0.202856,-48.2798
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,13,237,0.144208,34.1773
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,14,241,0.410328,98.8889
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,15,245,-0.151032,-37.0029
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,16,253,-0.075026,-18.9815
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,17,243,-0.089968,-21.8623
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,18,228,-0.079405,-18.1043
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,3F,19,245,-0.277347,-67.9501
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,0,83,0.409025,33.9491
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,1,79,0.461512,36.4595
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,2,86,0.278054,23.9127
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,3,85,0.136111,11.5694
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,4,82,0.07868,6.4517
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,5,81,0.142926,11.577
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,6,86,0.792305,68.1382
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,7,87,-0.336201,-29.2495
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,8,83,-0.15304,-12.7023
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,9,83,-0.117154,-9.7238
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,10,81,0.170175,13.7841
pH6 110mM 8%  [C - rank 1],C,formulation,6,110,8,5F,11,82,0.028483,2.3356
pH7.3 170mM 5%  [F - rank 2],F,formulation,7.3,170,5,3F,0,242,0.258743,62.6158
pH7.3 170mM 5%  [F - rank 2],F,formulation,7.3,170,5,3F,1,244,-0.154265,-37.6407
pH7.3 170mM 5%  [F - rank 2],F,formulation,7.3,170,5,3F,2,243,0.238001,57.8342
