figure_row,condition_label,formulation,stability_rank,block,pH,NaCl_mM,sucrose_pct,mole_ratio_n3_n1,wholecapsid_gamma23_r10A,wholecapsid_SE_corrected,wholecapsid_gamma23_norm,wholecapsid_norm_SE,region_3F_group_mean,region_5F_group_mean
1,pH6 110mM 8%  [C - rank 1],C,1,formulation,6,110,8,0.003815,6.8862,22.0167,1804.8232,5770.3971,0.002403,0.157573
2,pH7.3 170mM 5%  [F - rank 2],F,2,formulation,7.3,170,5,0.002339,-7.9635,14.2375,-3404.3439,6086.4378,0.020217,0.006336
3,pH6 30mM 12%  [D - rank 3],D,3,formulation,6,30,12,0.005859,-12.2342,34.2796,-2088.2677,5851.1914,0.010899,-0.078677
4,pH7.3 30mM 12%  [E - rank 4],E,4,formulation,7.3,30,12,0.005865,-85.1181,23.2315,-14512.6508,3960.9704,-0.10805,-0.14911
5,pH6 200mM 10%,,,DOE,6,200,10,0.00488,17.1187,24.0447,3508.1206,4927.4691,0.055637,0.011454
6,pH6 30mM 1%,,,DOE,6,30,1,0.000459,6.1933,4.7614,13484.5075,10366.8732,0.0199,0.02488
7,pH6 200mM 1%,,,DOE,6,200,1,0.000437,1.1806,2.9004,2703.5123,6641.9264,0.002725,-0.02727
8,pH6 30mM 10%,,,DOE,6,30,10,0.004784,-0.8865,20.6715,-185.3058,4321.139,-0.015628,0.065322
9,pH8 30mM 1%,,,DOE,8,30,1,0.000467,-5.2296,2.2717,-11187.2533,4859.7382,0.003527,0.009947
10,pH8 200mM 1%,,,DOE,8,200,1,0.000457,-7.7408,2.4286,-16922.7242,5309.3818,0.006243,-0.025723
11,pH8 200mM 10%,,,DOE,8,200,10,0.00485,-58.4955,16.7251,-12060.6362,3448.3901,-0.028044,-0.079897
12,pH8 30mM 10%,,,DOE,8,30,10,0.004765,-75.131,19.5687,-15768.6021,4107.1039,-0.03995,-0.103696
