r_angstrom,s30mM_1pct_pH6_gamma23_mean,s30mM_1pct_pH6_SE_raw,s30mM_1pct_pH6_SE_corrected_x8.5,s30mM_1pct_pH8_gamma23_mean,s30mM_1pct_pH8_SE_raw,s30mM_1pct_pH8_SE_corrected_x8.5,s30mM_10pct_pH6_gamma23_mean,s30mM_10pct_pH6_SE_raw,s30mM_10pct_pH6_SE_corrected_x8.5,s30mM_10pct_pH8_gamma23_mean,s30mM_10pct_pH8_SE_raw,s30mM_10pct_pH8_SE_corrected_x8.5,s200mM_1pct_pH6_gamma23_mean,s200mM_1pct_pH6_SE_raw,s200mM_1pct_pH6_SE_corrected_x8.5,s200mM_1pct_pH8_gamma23_mean,s200mM_1pct_pH8_SE_raw,s200mM_1pct_pH8_SE_corrected_x8.5,s200mM_10pct_pH6_gamma23_mean,s200mM_10pct_pH6_SE_raw,s200mM_10pct_pH6_SE_corrected_x8.5,s200mM_10pct_pH8_gamma23_mean,s200mM_10pct_pH8_SE_raw,s200mM_10pct_pH8_SE_corrected_x8.5
0.1,-11.29579,0.05645,0.47979,-13.64826,0.02347,0.19951,-132.26130,0.10697,0.90925,-133.07482,0.08516,0.72389,-11.79395,0.03896,0.33116,-12.25186,0.03930,0.33404,-129.37072,0.16162,1.37375,-134.59344,0.10297,0.87527
0.2,-11.75224,0.06025,0.51210,-14.50720,0.02690,0.22864,-139.43370,0.11970,1.01746,-141.63015,0.10167,0.86417,-12.40338,0.04333,0.36832,-13.01694,0.04187,0.35593,-136.56313,0.18390,1.56312,-143.07381,0.11505,0.97797
0.3,-12.20587,0.06467,0.54966,-15.36178,0.02963,0.25183,-146.03176,0.13751,1.16883,-149.75424,0.12301,1.04557,-12.93767,0.04784,0.40663,-13.73760,0.04624,0.39307,-143.18947,0.20916,1.77784,-150.99085,0.13453,1.14351
0.4,-12.54180,0.06911,0.58747,-16.13109,0.03537,0.30062,-151.84725,0.16511,1.40340,-157.19474,0.14805,1.25839,-13.36308,0.05444,0.46272,-14.39072,0.05069,0.43083,-149.12755,0.23843,2.02662,-158.22100,0.15448,1.31311
0.5,-12.86734,0.07398,0.62883,-16.83699,0.04077,0.34654,-156.97943,0.19184,1.63066,-163.72828,0.17800,1.51304,-13.65998,0.06210,0.52785,-15.00621,0.05459,0.46402,-154.22940,0.27528,2.33988,-164.68111,0.18064,1.53547
0.6,-13.07646,0.07949,0.67570,-17.45321,0.04583,0.38957,-161.21809,0.22782,1.93648,-169.49415,0.20726,1.76171,-13.87040,0.07080,0.60178,-15.52399,0.05824,0.49501,-158.41635,0.31531,2.68016,-170.31704,0.20693,1.75890
0.7,-13.07775,0.08697,0.73921,-17.95701,0.05101,0.43357,-164.40268,0.26771,2.27550,-174.16240,0.24347,2.06950,-13.89310,0.08101,0.68859,-15.90496,0.06263,0.53236,-161.66482,0.35903,3.05172,-174.84340,0.23581,2.00441
0.8,-12.94709,0.09672,0.82210,-18.36082,0.05727,0.48682,-166.69984,0.30578,2.59910,-177.87506,0.27530,2.34002,-13.81842,0.09157,0.77833,-16.23823,0.06610,0.56185,-163.78184,0.40668,3.45675,-178.27249,0.27373,2.32670
0.9,-12.69731,0.10549,0.89663,-18.60438,0.06305,0.53590,-167.57762,0.35426,3.01122,-180.65420,0.31056,2.63972,-13.66189,0.10072,0.85611,-16.49825,0.06976,0.59299,-164.69388,0.45947,3.90552,-180.68425,0.31265,2.65750
1.0,-12.31871,0.11751,0.99880,-18.73156,0.06918,0.58807,-167.43442,0.41354,3.51512,-182.28068,0.34292,2.91481,-13.43790,0.10966,0.93212,-16.68223,0.07499,0.63743,-164.30773,0.52543,4.46612,-182.07006,0.35816,3.04434
1.1,-11.70138,0.13029,1.10750,-18.66746,0.07397,0.62875,-166.30859,0.48048,4.08406,-182.88933,0.38472,3.27008,-13.17853,0.11789,1.00209,-16.73594,0.08042,0.68359,-162.78398,0.58863,5.00332,-182.70281,0.40195,3.41661
1.2,-10.90571,0.14505,1.23293,-18.47366,0.08030,0.68252,-164.01121,0.55022,4.67688,-182.65519,0.42758,3.63443,-12.86087,0.12682,1.07801,-16.69378,0.08708,0.74019,-160.29331,0.65682,5.58294,-182.27540,0.44564,3.78792
1.3,-10.02861,0.15832,1.34571,-18.11761,0.08441,0.71746,-160.90064,0.62505,5.31294,-181.64873,0.47507,4.03807,-12.46581,0.13507,1.14811,-16.63158,0.09636,0.81903,-156.59560,0.73602,6.25620,-180.97936,0.49088,4.17248
1.4,-9.15787,0.17118,1.45506,-17.69566,0.08858,0.75295,-156.93068,0.69918,5.94302,-179.95001,0.52186,4.43581,-11.98381,0.14336,1.21859,-16.49268,0.10309,0.87629,-151.93545,0.81177,6.90005,-179.03712,0.53391,4.53824
1.5,-8.32092,0.18337,1.55867,-17.16584,0.09622,0.81787,-152.40112,0.76665,6.51654,-177.35407,0.57355,4.87519,-11.47979,0.15323,1.30244,-16.33987,0.11058,0.93989,-146.46286,0.88871,7.55407,-176.23602,0.58109,4.93927
1.6,-7.34727,0.19611,1.66696,-16.42480,0.10260,0.87209,-147.39744,0.83277,7.07851,-174.24534,0.61581,5.23442,-10.86187,0.16280,1.38382,-16.10646,0.11902,1.01167,-140.22986,0.96085,8.16724,-172.69928,0.62888,5.34551
1.7,-6.38487,0.20790,1.76715,-15.78011,0.10790,0.91718,-142.24721,0.89199,7.58190,-170.45616,0.66772,5.67559,-10.12796,0.17324,1.47257,-15.76028,0.12563,1.06785,-133.59287,1.03665,8.81154,-168.54864,0.68120,5.79016
1.8,-5.60757,0.21817,1.85443,-15.07064,0.11400,0.96902,-136.89840,0.94564,8.03795,-166.02821,0.71680,6.09283,-9.29446,0.18526,1.57472,-15.38286,0.13218,1.12355,-126.52932,1.10374,9.38178,-163.99103,0.73884,6.28011
1.9,-4.83077,0.22729,1.93196,-14.27521,0.12052,1.02442,-131.05432,0.99513,8.45865,-161.17128,0.76885,6.53520,-8.41307,0.19444,1.65273,-14.98218,0.13813,1.17412,-119.21485,1.17137,9.95662,-158.85629,0.79933,6.79427
2.0,-4.09070,0.23673,2.01218,-13.57788,0.12842,1.09154,-125.09307,1.04760,8.90460,-155.99516,0.81288,6.90949,-7.47111,0.20588,1.74999,-14.44294,0.14558,1.23746,-111.68252,1.23595,10.50560,-153.42526,0.85832,7.29576
2.1,-3.31356,0.24484,2.08116,-12.86621,0.13530,1.15009,-118.62454,1.09903,9.34179,-150.40634,0.86264,7.33244,-6.49072,0.21837,1.85617,-13.87342,0.15156,1.28824,-103.79388,1.30022,11.05186,-147.55593,0.91421,7.77081
2.2,-2.62831,0.25355,2.15517,-12.09185,0.14324,1.21754,-112.18747,1.14756,9.75427,-144.76567,0.91206,7.75253,-5.50293,0.22966,1.95213,-13.29919,0.15693,1.33393,-95.77251,1.36330,11.58805,-141.63096,0.97625,8.29813
2.3,-1.80587,0.25911,2.20242,-11.31199,0.15198,1.29179,-105.67735,1.19692,10.17381,-138.54852,0.96133,8.17128,-4.53924,0.24080,2.04679,-12.71296,0.16238,1.38024,-87.38157,1.42796,12.13765,-135.20452,1.03697,8.81428
2.4,-1.02346,0.26856,2.28277,-10.53607,0.16068,1.36577,-98.82600,1.24354,10.57008,-132.02827,1.01048,8.58904,-3.59802,0.24984,2.12367,-12.04031,0.17079,1.45173,-78.92364,1.50030,12.75251,-128.66615,1.09125,9.27562
2.5,-0.29752,0.27836,2.36603,-9.73935,0.16868,1.43376,-91.97539,1.28453,10.91850,-125.52180,1.05635,8.97899,-2.72098,0.25665,2.18151,-11.33590,0.17688,1.50347,-70.53635,1.56729,13.32196,-122.26324,1.13953,9.68601
2.6,0.42992,0.28666,2.43660,-8.89742,0.17674,1.50232,-84.95531,1.32997,11.30471,-118.97223,1.10108,9.35914,-1.93453,0.26211,2.22790,-10.63857,0.18305,1.55593,-62.34951,1.62452,13.80838,-115.74584,1.17649,10.00014
2.7,1.23797,0.29701,2.52457,-8.15202,0.18322,1.55738,-78.17380,1.36971,11.64253,-112.73976,1.14801,9.75812,-1.17760,0.26748,2.27362,-10.04648,0.19069,1.62088,-54.55374,1.68274,14.30328,-109.42063,1.20899,10.27639
2.8,1.98064,0.30636,2.60403,-7.32010,0.18632,1.58371,-71.30278,1.41127,11.99578,-106.35720,1.19239,10.13531,-0.45996,0.27112,2.30455,-9.37043,0.19695,1.67409,-47.03446,1.73466,14.74457,-103.23588,1.24738,10.60273
2.9,2.68681,0.31698,2.69431,-6.55566,0.19074,1.62131,-64.84090,1.45409,12.35973,-100.09475,1.24069,10.54590,0.26101,0.27567,2.34315,-8.69818,0.20328,1.72789,-39.80320,1.78262,15.15230,-96.76948,1.27861,10.86816
3.0,3.29480,0.32370,2.75145,-5.82849,0.19624,1.66804,-58.37057,1.48943,12.66018,-93.92672,1.28322,10.90736,0.86788,0.27963,2.37683,-8.03407,0.21098,1.79334,-32.95532,1.82041,15.47352,-90.73107,1.31077,11.14152
3.1,3.92200,0.33231,2.82464,-5.12797,0.19887,1.69043,-51.82064,1.52355,12.95019,-88.08040,1.33520,11.34916,1.44719,0.28035,2.38296,-7.42571,0.21547,1.83151,-26.05044,1.86196,15.82670,-84.86217,1.33713,11.36556
3.2,4.52502,0.34043,2.89365,-4.48608,0.20217,1.71842,-45.50705,1.56495,13.30208,-82.34952,1.37523,11.68948,2.01164,0.28120,2.39018,-6.83575,0.21968,1.86728,-19.55765,1.89862,16.13828,-79.21097,1.36130,11.57103
3.3,5.02782,0.34928,2.96891,-3.84910,0.20470,1.73999,-39.57888,1.59802,13.58315,-77.15855,1.41796,12.05263,2.45381,0.28349,2.40966,-6.30656,0.22251,1.89136,-13.24583,1.93321,16.43228,-73.95201,1.38122,11.74037
3.4,5.61772,0.35731,3.03716,-3.25026,0.20487,1.74143,-33.91354,1.62875,13.84434,-72.12609,1.45778,12.39115,2.98304,0.28471,2.42005,-5.86386,0.22564,1.91791,-7.43532,1.96843,16.73164,-68.92341,1.39593,11.86537
3.5,6.14179,0.36243,3.08062,-2.78793,0.20452,1.73844,-28.54365,1.66211,14.12796,-67.52053,1.49615,12.71725,3.43420,0.28615,2.43224,-5.38243,0.22654,1.92561,-1.77712,1.99712,16.97554,-63.91038,1.41457,12.02381
3.6,6.60215,0.36997,3.14475,-2.34474,0.20590,1.75013,-23.34595,1.69349,14.39467,-63.20471,1.52327,12.94776,3.94106,0.28791,2.44719,-4.90621,0.22872,1.94415,3.27045,2.02711,17.23042,-59.48508,1.42756,12.13427
