r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.164748399895794684e+01,4.931130209679530918e-02
2.000000000000000111e-01,-1.226859531372459955e+01,5.292498169486043597e-02
3.000000000000000444e-01,-1.286619383208660317e+01,5.687907864053375062e-02
4.000000000000000222e-01,-1.334305806297883201e+01,6.270204634385799503e-02
5.000000000000000000e-01,-1.376731504322416022e+01,6.703721368280977921e-02
6.000000000000000888e-01,-1.407392858523497914e+01,7.259234217114247933e-02
7.000000000000000666e-01,-1.426754760118084064e+01,7.890295871375907488e-02
8.000000000000000444e-01,-1.434035300335876606e+01,8.522454929917003263e-02
9.000000000000000222e-01,-1.431713932532225542e+01,9.134664256877117472e-02
1.000000000000000000e+00,-1.424575181267469048e+01,9.625303643904402351e-02
1.100000000000000089e+00,-1.405532757348484552e+01,1.039193886582517184e-01
1.200000000000000178e+00,-1.384720420320134515e+01,1.093236962869859746e-01
1.300000000000000044e+00,-1.356365671368572734e+01,1.142817821860729471e-01
1.400000000000000133e+00,-1.323494445722518797e+01,1.187369685762982990e-01
1.500000000000000000e+00,-1.289870169093126506e+01,1.247003494322205114e-01
1.600000000000000089e+00,-1.241697286580088289e+01,1.314680209863248461e-01
1.700000000000000178e+00,-1.187415714333273087e+01,1.368125411583084317e-01
1.800000000000000044e+00,-1.135068339401784598e+01,1.444326198194906263e-01
1.900000000000000133e+00,-1.073118747506496007e+01,1.510135375008714309e-01
2.000000000000000000e+00,-1.004215059853170899e+01,1.596723383290253317e-01
2.100000000000000089e+00,-9.403715714039659446e+00,1.676887732970145928e-01
2.200000000000000178e+00,-8.677626678211785460e+00,1.754643410046621832e-01
2.300000000000000266e+00,-7.987638485772161623e+00,1.840328153130791622e-01
2.400000000000000355e+00,-7.223564430448736751e+00,1.914691398127444377e-01
2.500000000000000000e+00,-6.459145985346462560e+00,2.001303573821940074e-01
2.600000000000000089e+00,-5.761627639536913925e+00,2.071939666550119408e-01
2.700000000000000178e+00,-5.033560923969210954e+00,2.155205319487914217e-01
2.800000000000000266e+00,-4.383090224956634806e+00,2.215101209246136404e-01
2.900000000000000355e+00,-3.699783988735316331e+00,2.266853541676123185e-01
3.000000000000000000e+00,-3.101334127050769052e+00,2.316228526560961953e-01
3.100000000000000089e+00,-2.440599123989214636e+00,2.361472894807373490e-01
3.200000000000000178e+00,-1.931993638166164651e+00,2.395276717824116330e-01
3.300000000000000266e+00,-1.355970030701100004e+00,2.435136922358707989e-01
3.400000000000000355e+00,-8.794083872500965127e-01,2.476835385696852521e-01
3.500000000000000000e+00,-4.385689389343527256e-01,2.512849232225495832e-01
3.600000000000000089e+00,-4.249559855598036145e-02,2.524133215718240564e-01
3.700000000000000178e+00,3.212193973677403558e-01,2.554963921255664072e-01
3.800000000000000266e+00,6.212919330273594110e-01,2.588198606005734370e-01
3.900000000000000355e+00,8.901408536631369994e-01,2.602685937212846357e-01
4.000000000000000000e+00,1.082112153603242755e+00,2.612068260017055832e-01
4.100000000000000533e+00,1.183733709189417782e+00,2.627925961340726868e-01
4.200000000000000178e+00,1.312780946501451051e+00,2.652234506206160303e-01
4.299999999999999822e+00,1.380027532498266485e+00,2.677147855269972343e-01
4.400000000000000355e+00,1.405017579075069190e+00,2.697031082214826347e-01
4.500000000000000000e+00,1.381451529750272300e+00,2.703944725287553696e-01
4.600000000000000533e+00,1.344583038914393569e+00,2.720862811632803191e-01
4.700000000000000178e+00,1.281047601793186663e+00,2.727472405804037825e-01
4.800000000000000711e+00,1.226216909425413393e+00,2.758310356684791076e-01
4.900000000000000355e+00,1.129730550155245039e+00,2.779873964534712583e-01
5.000000000000000000e+00,1.017561536778763598e+00,2.795026551810481652e-01
5.100000000000000533e+00,9.291511594539623164e-01,2.807160398832812542e-01
5.200000000000000178e+00,7.783435134772754838e-01,2.836284691968179450e-01
5.300000000000000711e+00,6.217946464352503977e-01,2.854929697569171809e-01
5.400000000000000355e+00,4.784116129977130094e-01,2.876378148527996559e-01
5.500000000000000000e+00,3.302528750145548031e-01,2.886174539836344199e-01
5.600000000000000533e+00,1.952059803712712649e-01,2.899174364170187812e-01
5.700000000000000178e+00,7.920957259261672545e-02,2.906030677848172594e-01
5.800000000000000711e+00,-5.791399469765471514e-02,2.924667049015964304e-01
5.900000000000000355e+00,-1.451001258211094269e-01,2.947915900580780346e-01
6.000000000000000000e+00,-2.791535403682975924e-01,2.961898365692415824e-01
6.100000000000000533e+00,-4.169088343842767830e-01,2.954654076587353018e-01
6.200000000000000178e+00,-5.583086870271420921e-01,2.961311031247709225e-01
6.300000000000000711e+00,-6.838942205698754773e-01,2.958420309907254242e-01
6.400000000000000355e+00,-8.130876944023085473e-01,2.962770178730881887e-01
6.500000000000000000e+00,-9.291748488726321309e-01,2.976823707696923393e-01
6.600000000000000533e+00,-1.046402706313045661e+00,2.983499819982322609e-01
6.700000000000000178e+00,-1.140493047139412797e+00,2.997224632944892608e-01
