group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
flag:is_polar,16,20,15164,31000,0.8,0.48916129032258066,1.63545238723292,4.177261936164601,0.004497725566926838,True
class:Polar_uncharged,10,20,9350,31000,0.5,0.3016129032258065,1.6577540106951871,2.3155080213903743,0.04971910716724016,True
type:GLN,3,20,1497,31000,0.15,0.04829032258064516,3.106212424849699,3.477896970411411,0.06965375416869937,False
class:Basic,4,20,3176,31000,0.2,0.10245161290322581,1.9521410579345089,2.190176322418136,0.14205763815605796,False
type:ARG,2,20,1258,31000,0.1,0.04058064516129032,2.46422893481717,2.6269210386857447,0.1941559791741383,False
type:THR,3,20,2457,31000,0.15,0.07925806451612903,1.8925518925518925,2.05006105006105,0.20832695438827123,False
type:ASN,3,20,2637,31000,0.15,0.08506451612903226,1.763367463026166,1.8980793682660777,0.23952109895197252,False
type:ALA,2,20,1798,31000,0.1,0.058,1.7241379310344829,1.8045977011494252,0.3247556513698449,False
type:TRP,1,20,719,31000,0.05,0.023193548387096773,2.1557719054242006,2.2166020057096847,0.37489429333414176,False
type:HIS,1,20,779,31000,0.05,0.025129032258064517,1.9897304236200257,2.0418214985473955,0.39919820089883723,False
class:Acidic,2,20,2638,31000,0.1,0.08509677419354839,1.1751326762699015,1.1945918625221128,0.517174450163237,False
type:LYS,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
type:GLU,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
flag:is_aromatic,3,20,4737,31000,0.15,0.15280645161290324,0.9816339455351487,0.9783928771001751,0.6086655648654948,False
type:ASP,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
type:PHE,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
class:Aromatic,2,20,3958,31000,0.1,0.1276774193548387,0.7832238504295099,0.7591376115883443,0.744377003818862,False
type:SER,1,20,2759,31000,0.05,0.089,0.5617977528089888,0.5387344766410408,0.8449944065764289,False
class:Aliphatic,2,20,6538,31000,0.1,0.2109032258064516,0.47415111654940356,0.41572346283267053,0.9443750578182943,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:GLY,0,20,2220,31000,0.0,0.07161290322580645,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
class:Special,0,20,4380,31000,0.0,0.14129032258064517,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
