region_type,region_index,n,mean,std,min,max,sem
3F,0,633,0.001944631364029078,0.6522347041882312,-1.6150995055123016,2.521614532129836,0.02592400210664112
3F,1,633,-0.2723337285112916,0.5047839141652923,-1.1918031263638915,2.533325496308684,0.020063359355443067
3F,2,635,-0.38954824808338606,0.33475908006949856,-1.578931090831541,1.4399639446697845,0.01328450886891016
3F,3,625,-0.27249073533285106,0.6238081659968265,-1.265860211285001,4.439064374553515,0.02495232663987306
3F,4,620,-0.10032870232338428,0.8458630297846214,-1.2598221331747503,7.557730799578969,0.033970676756351896
3F,5,629,-0.342298431785143,0.5017403579259053,-1.4395462584242424,1.8611724148535818,0.020005698185549054
3F,6,635,-0.18471946474181475,0.6288921929658342,-1.2177379252389104,2.16017571208263,0.024956825408017372
3F,7,618,-0.16681254513628033,0.7081439295393438,-1.0917691887838776,3.7819711761186436,0.028485726424664234
3F,8,622,-0.08191750532460047,0.632158011558869,-1.264817199448637,2.89721570686953,0.025347226982854725
3F,9,620,-0.11630594860354054,0.8406783522685176,-1.4485153981218837,5.832349671655477,0.033762455096598865
3F,10,636,-0.1776217958653151,0.536969170952235,-1.1289321709938858,1.6099919037276442,0.021292212625271357
3F,11,627,-0.0307468034541112,0.5888202201240404,-1.1329531398158585,1.9056884403071934,0.023515214513152093
3F,12,629,-0.3555808339248851,0.3483383208277107,-1.2305871211201442,1.1573372121277041,0.01388915841202722
3F,13,627,-0.035142784660758375,0.9522758647116439,-1.0508292179767742,6.833503200003751,0.03803023481373385
3F,14,626,-0.10082265089826041,0.7035062999188992,-1.2995249583894104,3.1399278039684972,0.028117766773831314
3F,15,633,-0.3069947830996989,0.41451937760715013,-1.2645563830567952,1.5184209478971937,0.016475666120381864
3F,16,629,-0.16618681077108138,0.5961779339753113,-1.2853378734319467,2.914405854620122,0.023771170932507656
3F,17,623,-0.18858835337892874,0.6035002690528711,-1.0820005635805243,3.378163311652079,0.02417872772486341
3F,18,630,-0.17757134424586032,0.5611036401368249,-1.3250569695740435,2.349756178363609,0.02235490411644011
3F,19,629,-0.11316144384383853,0.5146923662323276,-1.1612833052411855,2.0942267230383567,0.020522128576251793
5F,0,191,-0.45006279491150525,0.33502651931228666,-1.0724088241882332,0.7113903819867397,0.02424166814738817
5F,1,177,-0.0441600359243784,0.5924629384494372,-1.292970586597746,1.4059768781793829,0.0445322414424404
5F,2,192,-0.07964109642047257,0.6157348510140486,-1.0416404038039244,1.8068298069491526,0.044436835247799386
5F,3,198,-0.24566236594224233,0.48222265997304364,-1.045183039874258,1.5457469636185819,0.03427007218305362
5F,4,183,0.02176152767097321,0.5532504551639258,-0.9124652569808664,1.8379826024468908,0.04089745046224731
5F,5,182,0.5583870287502187,0.769548425893726,-0.7434756804009961,2.763595860790439,0.05704272448313504
5F,6,190,-0.08423929416395673,0.5223023058895635,-1.0800141042810503,1.5073179481151548,0.03789179183005728
5F,7,183,0.35575207645675333,0.9491854142224443,-1.1039799370040502,4.001994013350092,0.07016580482730579
5F,8,195,-0.48522969639156105,0.33417833132634983,-1.1048802932521458,0.597194527614301,0.023931007364447688
5F,9,187,-0.11681162484903779,0.46170161180443503,-0.9023202287885684,1.348778802908511,0.03376296568876326
5F,10,180,0.05304293816596694,0.8449108620419165,-1.1228868099513585,2.9855083788300423,0.06297593741512239
5F,11,194,0.2053701692263684,0.7548306249084723,-0.9553574921715455,2.393734785266406,0.054193680552756335
