r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.188386177307014790e+01,4.704460392397324942e-02
2.000000000000000111e-01,-1.251150932903041380e+01,5.108655330258640714e-02
3.000000000000000444e-01,-1.307707826355185965e+01,5.656829202322347094e-02
4.000000000000000222e-01,-1.351400378308566630e+01,6.388897642936507137e-02
5.000000000000000000e-01,-1.385000532153012465e+01,7.289325639315706595e-02
6.000000000000000888e-01,-1.397524145203355772e+01,8.403484548695902556e-02
7.000000000000000666e-01,-1.394253182613087461e+01,9.559650770200144032e-02
8.000000000000000444e-01,-1.370775119641340645e+01,1.073741447740117344e-01
9.000000000000000222e-01,-1.324093925374193326e+01,1.210075761630880764e-01
1.000000000000000000e+00,-1.273653843444613365e+01,1.324494005532919350e-01
1.100000000000000089e+00,-1.213223493278147380e+01,1.458832053833949982e-01
1.200000000000000178e+00,-1.143005779465120320e+01,1.602674151288724647e-01
1.300000000000000044e+00,-1.063747555004800915e+01,1.733289524543949467e-01
1.400000000000000133e+00,-9.898484158510438391e+00,1.852015121532525344e-01
1.500000000000000000e+00,-9.009071055121848914e+00,1.983345588804294735e-01
1.600000000000000089e+00,-7.984200247360092817e+00,2.131550499486686290e-01
1.700000000000000178e+00,-6.957097808022767893e+00,2.288708902084203578e-01
1.800000000000000044e+00,-5.846122671723792408e+00,2.434843943162763313e-01
1.900000000000000133e+00,-4.697152271309322558e+00,2.563155581453430143e-01
2.000000000000000000e+00,-3.427725947321409006e+00,2.727097657273201414e-01
2.100000000000000089e+00,-2.205551861888928045e+00,2.861028229227640107e-01
2.200000000000000178e+00,-1.028918749742283589e+00,2.986865382827191273e-01
2.300000000000000266e+00,1.679947998507229645e-01,3.092275272311200696e-01
2.400000000000000355e+00,1.248943038219183732e+00,3.177521062896230819e-01
2.500000000000000000e+00,2.331622572061963883e+00,3.245580592078783910e-01
2.600000000000000089e+00,3.478758090657180002e+00,3.322569980371077869e-01
2.700000000000000178e+00,4.651085296889833742e+00,3.391283206820623897e-01
2.800000000000000266e+00,5.655394858502452493e+00,3.434052694051930588e-01
2.900000000000000355e+00,6.730900938469643435e+00,3.472525707359002678e-01
3.000000000000000000e+00,7.676978956643734087e+00,3.480002490163186524e-01
3.100000000000000089e+00,8.654434788621367503e+00,3.467834102848283417e-01
3.200000000000000178e+00,9.462690188379488276e+00,3.469097956981195274e-01
3.300000000000000266e+00,1.029124146254563321e+01,3.455459375358276297e-01
3.400000000000000355e+00,1.103428226223727648e+01,3.459565386115765473e-01
3.500000000000000000e+00,1.172399212138168600e+01,3.454557706352555102e-01
3.600000000000000089e+00,1.245679055351003228e+01,3.451201250299318346e-01
3.700000000000000178e+00,1.307362837769666974e+01,3.453252544545599156e-01
3.800000000000000266e+00,1.364908299561739291e+01,3.461459864762272964e-01
3.900000000000000355e+00,1.414298621793732558e+01,3.450217429098005328e-01
4.000000000000000000e+00,1.459694875534835212e+01,3.448362534095647525e-01
4.100000000000000533e+00,1.497365573198368693e+01,3.455549914586902860e-01
4.200000000000000178e+00,1.529990795007011606e+01,3.443934625637435909e-01
4.299999999999999822e+00,1.557016743003770642e+01,3.443322175292939380e-01
4.400000000000000355e+00,1.578337240352787063e+01,3.445396977864678689e-01
4.500000000000000000e+00,1.597438477005114343e+01,3.455615037581640236e-01
4.600000000000000533e+00,1.611867860926352591e+01,3.477021806398039594e-01
4.700000000000000178e+00,1.622025529073955852e+01,3.477009629208117625e-01
4.800000000000000711e+00,1.629459614390363242e+01,3.484095978308706654e-01
4.900000000000000355e+00,1.643973750161067926e+01,3.485179059815811664e-01
5.000000000000000000e+00,1.649069332257521836e+01,3.496252633614269634e-01
5.100000000000000533e+00,1.654536771596249167e+01,3.499787349090769939e-01
5.200000000000000178e+00,1.661754320948902830e+01,3.506557715749913928e-01
5.300000000000000711e+00,1.664686136859788590e+01,3.520758380158452439e-01
5.400000000000000355e+00,1.668331072943219340e+01,3.529605180896303596e-01
5.500000000000000000e+00,1.671104411510075138e+01,3.525807570674714397e-01
5.600000000000000533e+00,1.670917046399934591e+01,3.511282804425993609e-01
5.700000000000000178e+00,1.672758447100674317e+01,3.507537174349983911e-01
5.800000000000000711e+00,1.673674014662453047e+01,3.516766756586473530e-01
5.900000000000000355e+00,1.672757514717028471e+01,3.517886870902566798e-01
6.000000000000000000e+00,1.677379371547373665e+01,3.512593816226797228e-01
6.100000000000000533e+00,1.682073361953573709e+01,3.511778872479071612e-01
6.200000000000000178e+00,1.686187711987181004e+01,3.509539982571835970e-01
6.300000000000000711e+00,1.689800395425649526e+01,3.509876989354148158e-01
6.400000000000000355e+00,1.692103192663059730e+01,3.511483084854610248e-01
6.500000000000000000e+00,1.693594986449412332e+01,3.515494990688216026e-01
6.600000000000000533e+00,1.702164628502271881e+01,3.501337557531222222e-01
6.700000000000000178e+00,1.703493229544034193e+01,3.496274037132123258e-01
6.800000000000000711e+00,1.705898342587360972e+01,3.488018635381833765e-01
6.900000000000000355e+00,1.713026912266342450e+01,3.477966718025333748e-01
7.000000000000000000e+00,1.713829018828882056e+01,3.472415009341666692e-01
7.100000000000000533e+00,1.718961957609421631e+01,3.481355608261982315e-01
7.200000000000000178e+00,1.726163279351894531e+01,3.470921519988409698e-01
