group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:THR,5,20,2455,31000,0.25,0.07919354838709677,3.1568228105906315,3.875763747454175,0.017683122521686093,True
class:Polar_uncharged,11,20,9349,31000,0.55,0.3015806451612903,1.8237244625093596,2.830498805576354,0.01789360453639626,True
type:ASN,5,20,2635,31000,0.25,0.085,2.941176470588235,3.588235294117647,0.023354251538552376,True
flag:is_polar,12,20,15168,31000,0.6,0.48929032258064514,1.2262658227848102,1.5656645569620253,0.221976166000292,False
type:VAL,2,20,1618,31000,0.1,0.05219354838709678,1.915945611866502,2.0177173465183356,0.28096097864127517,False
type:PRO,2,20,2158,31000,0.1,0.06961290322580645,1.4365152919369788,1.4850169910410875,0.41053108878301975,False
type:GLU,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
type:ILE,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
class:Special,3,20,4377,31000,0.15,0.14119354838709677,1.0623714873200822,1.0733782203765674,0.5512059977673845,False
type:GLN,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
class:Aliphatic,4,20,6536,31000,0.2,0.21083870967741936,0.9485924112607099,0.9357405140758874,0.6345430576048252,False
type:ALA,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
type:PHE,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
type:GLY,1,20,2219,31000,0.05,0.07158064516129033,0.6985128436232537,0.6826450985507934,0.7736352764162598,False
class:Acidic,1,20,2639,31000,0.05,0.08512903225806452,0.5873436907919667,0.5656249376757544,0.8312808440147308,False
class:Aromatic,1,20,3959,31000,0.05,0.12770967741935485,0.39151300833543823,0.35948737719519813,0.9349375340995081,False
flag:is_aromatic,1,20,4739,31000,0.05,0.15287096774193548,0.32707322219877616,0.29165602336713276,0.9637597369622026,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:ASP,0,20,1500,31000,0.0,0.04838709677419355,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
type:ARG,0,20,1260,31000,0.0,0.04064516129032258,0.0,0.0,1.0,False
type:SER,0,20,2760,31000,0.0,0.08903225806451613,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:LYS,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
class:Basic,0,20,3180,31000,0.0,0.10258064516129033,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
