region_type,region_index,chain,axis_x,axis_y,axis_z
5F,0,0,0.01492178487853111,0.5379512731811671,0.8428438574367142
5F,0,1,0.01492178487853111,0.5379512731811671,0.8428438574367142
5F,0,2,0.01492178487853111,0.5379512731811671,0.8428438574367142
5F,0,3,0.01492178487853111,0.5379512731811671,0.8428438574367142
5F,0,4,0.01492178487853111,0.5379512731811671,0.8428438574367142
5F,1,5,-0.018445579122097523,-0.5114130095696412,0.8591370637178752
5F,1,6,-0.018445579122097523,-0.5114130095696412,0.8591370637178752
5F,1,7,-0.018445579122097523,-0.5114130095696412,0.8591370637178752
5F,1,8,-0.018445579122097523,-0.5114130095696412,0.8591370637178752
5F,1,9,-0.018445579122097523,-0.5114130095696412,0.8591370637178752
5F,2,10,0.022986003923307925,0.5140922555125973,-0.8574268461190192
5F,2,11,0.022986003923307925,0.5140922555125973,-0.8574268461190192
5F,2,12,0.022986003923307925,0.5140922555125973,-0.8574268461190192
5F,2,13,0.022986003923307925,0.5140922555125973,-0.8574268461190192
5F,2,14,0.022986003923307925,0.5140922555125973,-0.8574268461190192
5F,3,15,-0.016130871524564497,-0.5390278209401883,-0.8421334830276791
5F,3,16,-0.016130871524564497,-0.5390278209401883,-0.8421334830276791
5F,3,17,-0.016130871524564497,-0.5390278209401883,-0.8421334830276791
5F,3,18,-0.016130871524564497,-0.5390278209401883,-0.8421334830276791
5F,3,19,-0.016130871524564497,-0.5390278209401883,-0.8421334830276791
5F,4,20,0.8497379314728468,-0.01904924061641843,0.526861057820926
5F,4,21,0.8497379314728468,-0.01904924061641843,0.526861057820926
5F,4,22,0.8497379314728468,-0.01904924061641843,0.526861057820926
5F,4,23,0.8497379314728468,-0.01904924061641843,0.526861057820926
5F,4,24,0.8497379314728468,-0.01904924061641843,0.526861057820926
5F,5,25,0.8519035727835658,-0.03755351757490882,-0.5223504915249405
5F,5,26,0.8519035727835658,-0.03755351757490882,-0.5223504915249405
5F,5,27,0.8519035727835658,-0.03755351757490882,-0.5223504915249405
5F,5,28,0.8519035727835658,-0.03755351757490882,-0.5223504915249405
5F,5,29,0.8519035727835658,-0.03755351757490882,-0.5223504915249405
5F,6,30,-0.8510200780071575,0.034868267440626016,0.5239742653550654
5F,6,31,-0.8510200780071575,0.034868267440626016,0.5239742653550654
5F,6,32,-0.8510200780071575,0.034868267440626016,0.5239742653550654
5F,6,33,-0.8510200780071575,0.034868267440626016,0.5239742653550654
5F,6,34,-0.8510200780071575,0.034868267440626016,0.5239742653550654
5F,7,35,-0.8481916449645098,0.02085881703536187,-0.5292786063731313
5F,7,36,-0.8481916449645098,0.02085881703536187,-0.5292786063731313
5F,7,37,-0.8481916449645098,0.02085881703536187,-0.5292786063731313
5F,7,38,-0.8481916449645098,0.02085881703536187,-0.5292786063731313
5F,7,39,-0.8481916449645098,0.02085881703536187,-0.5292786063731313
5F,8,40,0.5546274228138539,0.8320005783463932,-0.012785127849568798
5F,8,41,0.5546274228138539,0.8320005783463932,-0.012785127849568798
5F,8,42,0.5546274228138539,0.8320005783463932,-0.012785127849568798
5F,8,43,0.5546274228138539,0.8320005783463932,-0.012785127849568798
5F,8,44,0.5546274228138539,0.8320005783463932,-0.012785127849568798
5F,9,45,-0.4978683155183269,0.867103814026586,-0.016065992141524085
5F,9,46,-0.4978683155183269,0.867103814026586,-0.016065992141524085
5F,9,47,-0.4978683155183269,0.867103814026586,-0.016065992141524085
5F,9,48,-0.4978683155183269,0.867103814026586,-0.016065992141524085
5F,9,49,-0.4978683155183269,0.867103814026586,-0.016065992141524085
5F,10,50,0.4960344387777393,-0.868209148979445,0.01275575065769671
5F,10,51,0.4960344387777393,-0.868209148979445,0.01275575065769671
5F,10,52,0.4960344387777393,-0.868209148979445,0.01275575065769671
5F,10,53,0.4960344387777393,-0.868209148979445,0.01275575065769671
5F,10,54,0.4960344387777393,-0.868209148979445,0.01275575065769671
5F,11,55,-0.5533117692715592,-0.8328868409170918,0.01206632556845331
5F,11,56,-0.5533117692715592,-0.8328868409170918,0.01206632556845331
5F,11,57,-0.5533117692715592,-0.8328868409170918,0.01206632556845331
5F,11,58,-0.5533117692715592,-0.8328868409170918,0.01206632556845331
5F,11,59,-0.5533117692715592,-0.8328868409170918,0.01206632556845331
3F,0,0,0.35552196659042223,0.004286903196431983,0.934658094563281
3F,0,9,0.35552196659042223,0.004286903196431983,0.934658094563281
3F,0,22,0.35552196659042223,0.004286903196431983,0.934658094563281
3F,1,1,0.5956211379414171,0.5677319663727115,0.5682568736020231
3F,1,21,0.5956211379414171,0.5677319663727115,0.5682568736020231
3F,1,41,0.5956211379414171,0.5677319663727115,0.5682568736020231
3F,2,2,0.029203033042746726,0.9394255873846559,0.3415065865076377
3F,2,40,0.029203033042746726,0.9394255873846559,0.3415065865076377
3F,2,49,0.029203033042746726,0.9394255873846559,0.3415065865076377
3F,3,3,-0.5602880033575192,0.6041965159727557,0.5665897310929913
3F,3,33,-0.5602880033575192,0.6041965159727557,0.5665897310929913
3F,3,48,-0.5602880033575192,0.6041965159727557,0.5665897310929913
3F,4,4,-0.3590743561373129,0.024820146610986818,0.9329788674384771
3F,4,5,-0.3590743561373129,0.024820146610986818,0.9329788674384771
3F,4,32,-0.3590743561373129,0.024820146610986818,0.9329788674384771
3F,5,6,-0.5967883813894136,-0.5480276922944881,0.5860966441782292
3F,5,31,-0.5967883813894136,-0.5480276922944881,0.5860966441782292
3F,5,56,-0.5967883813894136,-0.5480276922944881,0.5860966441782292
3F,6,7,-0.030120652640312197,-0.9280621542429428,0.3712053126592747
3F,6,54,-0.030120652640312197,-0.9280621542429428,0.3712053126592747
3F,6,55,-0.030120652640312197,-0.9280621542429428,0.3712053126592747
3F,7,8,0.558644757544293,-0.5863020055509052,0.586656622868322
3F,7,23,0.558644757544293,-0.5863020055509052,0.586656622868322
3F,7,53,0.558644757544293,-0.5863020055509052,0.586656622868322
3F,8,10,-0.35333894662931686,-0.0007157283838387247,-0.9354950970089396
3F,8,19,-0.35333894662931686,-0.0007157283838387247,-0.9354950970089396
3F,8,37,-0.35333894662931686,-0.0007157283838387247,-0.9354950970089396
3F,9,11,-0.5535961213108489,0.5886529349223225,-0.5890832340823492
3F,9,36,-0.5535961213108489,0.5886529349223225,-0.5890832340823492
3F,9,46,-0.5535961213108489,0.5886529349223225,-0.5890832340823492
3F,10,12,0.03395610914452128,0.9286813028803456,-0.36932102611715634
3F,10,44,0.03395610914452128,0.9286813028803456,-0.36932102611715634
3F,10,45,0.03395610914452128,0.9286813028803456,-0.36932102611715634
3F,11,13,0.5995942228598692,0.5460791644632379,-0.5850506935746691
3F,11,28,0.5995942228598692,0.5460791644632379,-0.5850506935746691
3F,11,43,0.5995942228598692,0.5460791644632379,-0.5850506935746691
3F,12,14,0.357386844071817,-0.026546199493841478,-0.9335791037597296
3F,12,15,0.357386844071817,-0.026546199493841478,-0.9335791037597296
3F,12,27,0.357386844071817,-0.026546199493841478,-0.9335791037597296
3F,13,16,0.5585108262764387,-0.6058491686225931,-0.566579598830846
3F,13,26,0.5585108262764387,-0.6058491686225931,-0.566579598830846
3F,13,51,0.5585108262764387,-0.6058491686225931,-0.566579598830846
3F,14,17,-0.03244715327667987,-0.9388086485496381,-0.3429074272345844
3F,14,50,-0.03244715327667987,-0.9388086485496381,-0.3429074272345844
3F,14,59,-0.03244715327667987,-0.9388086485496381,-0.3429074272345844
3F,15,18,-0.5937898355528504,-0.5678921762005928,-0.5700106204311229
3F,15,38,-0.5937898355528504,-0.5678921762005928,-0.5700106204311229
3F,15,58,-0.5937898355528504,-0.5678921762005928,-0.5700106204311229
3F,16,20,0.9450405175353067,0.3269423865063639,-0.0026638547488851373
3F,16,29,0.9450405175353067,0.3269423865063639,-0.0026638547488851373
3F,16,42,0.9450405175353067,0.3269423865063639,-0.0026638547488851373
3F,17,24,0.9215582298573567,-0.3881278774229759,0.009337009655701485
3F,17,25,0.9215582298573567,-0.3881278774229759,0.009337009655701485
3F,17,52,0.9215582298573567,-0.3881278774229759,0.009337009655701485
3F,18,30,-0.9453107839684253,-0.3261495578969342,0.0037399995502262096
3F,18,39,-0.9453107839684253,-0.3261495578969342,0.0037399995502262096
3F,18,57,-0.9453107839684253,-0.3261495578969342,0.0037399995502262096
3F,19,34,-0.9220690661135934,0.3869253018115812,-0.008800462170951623
3F,19,35,-0.9220690661135934,0.3869253018115812,-0.008800462170951623
3F,19,47,-0.9220690661135934,0.3869253018115812,-0.008800462170951623
