region_type,region_index,n,mean,std,min,max,sem
3F,0,632,0.006346594995921296,0.174198701263522,-0.17260194023744782,0.878807876327787,0.006929252284207343
3F,1,621,-0.001340018922166587,0.17687665857415294,-0.19485734494008308,0.7992028273254264,0.007097815811136578
3F,2,634,-0.023211104267049514,0.08420986549247977,-0.16634242122517298,0.43883350971948243,0.003344401000783291
3F,3,624,-0.009039366611634996,0.11268701822155794,-0.17513256546822512,0.8990024291150155,0.004511091046404571
3F,4,623,-0.024050374942504314,0.09288996610776508,-0.17068517556130058,0.4734380085860024,0.003721557908194866
3F,5,626,-0.031567999727973174,0.07390287057856353,-0.16926308661966652,0.4938291507758735,0.00295375276537572
3F,6,630,-0.05460549276788441,0.04586021864757643,-0.19259821264103666,0.16624800129411665,0.0018271148452638003
3F,7,630,-0.0009766119932257883,0.1738587125439627,-0.17013883265703253,0.7680827049921065,0.006926696907152956
3F,8,632,-0.0016014870171778205,0.1320940736190564,-0.16793750795303466,0.672814219926727,0.005254420123204272
3F,9,619,0.16986165912568454,0.3526230414918739,-0.16653280968166856,1.4132556092281532,0.014173116682505956
3F,10,630,-0.05727792386998679,0.042886915336348384,-0.16956881819277209,0.13840506533517186,0.0017086556058701853
3F,11,617,-0.038831456092131185,0.07816504482604264,-0.1724623287536822,0.4912698620993517,0.003146806215197961
3F,12,627,-0.06148605022944557,0.047086125213372236,-0.18396753834779905,0.16388669594274083,0.0018804387097174364
3F,13,620,0.07413933796858298,0.2528996323973308,-0.1926621359621378,0.9205814923224888,0.010156693650693636
3F,14,624,0.012530478289724525,0.21214667594878786,-0.17021464717633444,1.0744215063675084,0.00849266388889137
3F,15,633,-0.03393012292265665,0.09685682860560169,-0.16838487861734155,0.45047348869128695,0.0038497133205128565
3F,16,628,0.02803701005549608,0.20176128946686275,-0.17133324736781538,1.4642545400555882,0.008051151945838927
3F,17,630,0.08565884620847895,0.22007544748402288,-0.13351813874682864,1.3464875656324582,0.008768015701499102
3F,18,616,-0.013290712130440039,0.1092664888066359,-0.1630998386981295,0.4710508105124803,0.004402472293940469
3F,19,627,-0.013053393986479117,0.14925286820674952,-0.15094909663670888,1.0219248918419654,0.005960585408982014
5F,0,192,-0.07615879318918611,0.03166320360542943,-0.1522910841460889,0.06598090015037385,0.0022850948906250764
5F,1,194,-0.05424384773409677,0.05029260255384078,-0.12474727648318208,0.1387940167347892,0.0036107984321649277
5F,2,192,0.0027245020322594397,0.14619242368037869,-0.14425289303889133,0.6895870560616172,0.010550529395668808
5F,3,190,0.0015499781656019161,0.1528140528716713,-0.12877132146367345,0.5853751166740631,0.011086296604145316
5F,4,185,-0.062430782269915705,0.0947484496608501,-0.13148431882418266,0.3434941689210498,0.006966044561137607
5F,5,186,0.05891410688018815,0.22082451922220428,-0.1520571545876473,0.8565346990791994,0.016191639334956816
5F,6,180,-0.058959990967135285,0.059442710049241954,-0.14537641256998218,0.22040115552593675,0.004430598014563829
5F,7,195,-0.00783993434631591,0.1557457310976547,-0.13400896037176865,0.6889590302978755,0.011153183460717638
5F,8,187,0.1523376922930572,0.2754186814404789,-0.13295531262875349,0.9048181857601432,0.020140608682687695
5F,9,193,0.08848395849059683,0.3217109574853967,-0.14059048281032946,0.8624236305051276,0.023157261438643217
5F,10,183,0.090565473617783,0.2895343518983588,-0.1580415642435539,0.9047438624902285,0.021402995159531334
5F,11,191,-0.03856229328655611,0.06443430207036986,-0.13193459905201274,0.20031644702072723,0.0046623024687860535
