r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.351848083596995593e+02,8.088201444651549332e-02
2.000000000000000111e-01,-1.438686978789916111e+02,8.445170980228476620e-02
3.000000000000000444e-01,-1.522907474408933126e+02,8.596891130374184620e-02
4.000000000000000222e-01,-1.603575655659417691e+02,8.791815234922775724e-02
5.000000000000000000e-01,-1.680402546630574250e+02,9.041110593020970643e-02
6.000000000000000888e-01,-1.750494865840767602e+02,9.343027179794108350e-02
7.000000000000000666e-01,-1.812954874414502626e+02,1.012916547557546898e-01
8.000000000000000444e-01,-1.868638318176349173e+02,1.142082791517368134e-01
9.000000000000000222e-01,-1.915156341612545532e+02,1.284346373454689216e-01
1.000000000000000000e+00,-1.955384976889736208e+02,1.492498560632795623e-01
1.100000000000000089e+00,-1.987857663959885031e+02,1.735789169890373795e-01
1.200000000000000178e+00,-2.013962627901332496e+02,1.960072608767904900e-01
1.300000000000000044e+00,-2.032947818972844800e+02,2.211249592846038226e-01
1.400000000000000133e+00,-2.045021637155588223e+02,2.431815473092637792e-01
1.500000000000000000e+00,-2.052045226183988689e+02,2.637592837976340809e-01
1.600000000000000089e+00,-2.052579800534914227e+02,2.862839231729007450e-01
1.700000000000000178e+00,-2.047940751313863359e+02,3.068191580189252865e-01
1.800000000000000044e+00,-2.036712791823831594e+02,3.309715115772987049e-01
1.900000000000000133e+00,-2.017860444119775423e+02,3.560420663388051965e-01
2.000000000000000000e+00,-1.996556134181266202e+02,3.779919375688981509e-01
2.100000000000000089e+00,-1.967098150951312050e+02,4.033850662016099653e-01
2.200000000000000178e+00,-1.934784235144095135e+02,4.321917305557712030e-01
2.300000000000000266e+00,-1.898824616464363828e+02,4.600778882115098001e-01
2.400000000000000355e+00,-1.860517286723898565e+02,4.915364878080648037e-01
2.500000000000000000e+00,-1.820968605727716181e+02,5.315856881562155412e-01
2.600000000000000089e+00,-1.781454652252785138e+02,5.659956100614198515e-01
2.700000000000000178e+00,-1.741917704661333346e+02,6.065259934748904458e-01
2.800000000000000266e+00,-1.702702027534005822e+02,6.423613079125124470e-01
2.900000000000000355e+00,-1.664233915275210620e+02,6.781731410316192976e-01
3.000000000000000000e+00,-1.629266652919174305e+02,7.124074900436438984e-01
3.100000000000000089e+00,-1.597372126045665368e+02,7.377904205611239830e-01
3.200000000000000178e+00,-1.565464910170666712e+02,7.719483572988895537e-01
