region_type,region_index,n,mean,std,min,max,sem
3F,0,639,-2.9546512602385424,3.1429359964195416,-8.950220309018421,8.658000737280966,0.12433262644759781
3F,1,625,-4.641820352564791,2.1520797001181147,-11.493974860478875,1.3198909575936566,0.08608318800472459
3F,2,623,-9.322604406895497,2.486209806466754,-16.06641987641556,-2.2799094916308373,0.09960789258932147
3F,3,625,-6.999073311877774,3.0659887789474207,-15.250344080894777,-0.11019756377279655,0.12263955115789683
3F,4,626,-3.2594836552593214,3.96790252311193,-10.382986470608227,10.657100765642225,0.1585892802083219
3F,5,631,-3.2706881941217216,4.0508288222256335,-13.040338993205962,8.442914104869441,0.16126094919508374
3F,6,626,-3.8115962143056903,2.701884111962912,-12.576861808823292,3.7594437561410152,0.10798900780114049
3F,7,617,-1.269485808352964,3.0136078499523276,-10.04575597724597,6.129832635265681,0.1213232837453676
3F,8,621,-2.212386008029883,2.2624310429616306,-7.343198067566413,3.6096301696209587,0.09078823038488748
3F,9,629,-6.333181338751668,2.471403641945645,-14.655389824250548,2.4691679441447567,0.09854131638884968
3F,10,634,-5.173447564332003,3.122324106551221,-11.017314166613827,4.761694194533377,0.12400333150576319
3F,11,632,-5.972710987417832,3.2852276131761777,-15.262772945085041,5.690015863031354,0.13067933789187777
3F,12,622,-1.3200476684057842,5.007424096485675,-8.773692496761658,15.818840808292556,0.2007794140899201
3F,13,633,-2.2519548614843417,2.958869651641294,-8.369013106069145,8.156013317250785,0.11760451044673108
3F,14,631,-2.1315263437339502,2.951617376814293,-9.962639074127933,8.514197270339224,0.117502032481407
3F,15,630,-3.284879014217623,3.1995824350617013,-11.19196109520508,5.20331412413004,0.12747441547698501
3F,16,633,-1.9281719801975352,3.6210706925973932,-10.264180991525642,8.881613668136731,0.14392463887677487
3F,17,623,-2.1965314527005457,3.515170002887884,-8.788512999476453,7.571098847396857,0.1408323123696694
3F,18,632,-3.540429050729878,2.639287962683841,-11.858608443337157,4.1416679177938835,0.1049852381875226
3F,19,627,-4.917005433494063,3.485754752191204,-11.624418543789096,4.635797955343762,0.13920763577165898
5F,0,191,-4.525837368134618,1.4929150600783139,-9.940040112486175,-0.8327786333011412,0.10802354253312779
5F,1,195,-4.067580756079553,2.803520603527916,-8.99401975427678,6.822139583133036,0.20076428038623484
5F,2,194,-3.9546549012060894,1.874409661972593,-8.463423456318104,1.524766857512021,0.13457477094051398
5F,3,187,0.25092371952901,2.6934052406742084,-5.089492446946161,7.2125701297102145,0.1969612979504546
5F,4,188,-2.7106276390315784,2.3231704151998764,-7.478181787208263,1.8467184810281134,0.16943461643064509
5F,5,190,-5.676082082911425,2.180061049229886,-11.756946875673995,0.41811502341476886,0.15815825150061955
5F,6,182,-4.038569160476758,3.7895502617202634,-11.275015671725383,3.279143095685835,0.28090015419530423
5F,7,191,-4.419358414434316,2.686226555871565,-10.509629644795137,1.1499673505389891,0.19436853198907886
5F,8,187,-7.468299410389242,2.2499252373052294,-12.652815455509373,-2.32078337090132,0.16453082823890047
5F,9,193,-2.218992471811248,3.659160572626646,-11.152865932449679,4.3007152345480275,0.2633921414695272
5F,10,182,-2.755666458601211,3.113968939031008,-8.973016643728146,3.73330807194886,0.23082273481606289
5F,11,196,-5.375131491424687,2.634365963016102,-10.199314809400965,1.3862740939305236,0.18816899735829298
