group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:ALA,6,20,1794,30850,0.3,0.05815235008103728,5.15886287625418,6.9412326803631155,0.000742934581791864,True
type:GLN,5,20,1495,30850,0.25,0.04846029173419773,5.15886287625418,6.545150501672241,0.0022614948084153925,True
class:Polar_uncharged,11,20,9349,30850,0.55,0.30304700162074555,1.814899989303669,2.810888865119264,0.01857148630032476,True
flag:is_polar,14,20,15016,30850,0.7,0.486742301458671,1.4381326584976024,2.4604421949920083,0.045228371192229715,True
type:ARG,3,20,1257,30850,0.15,0.04074554294975689,3.6813842482100236,4.154569703776499,0.04606810272895292,True
class:Aliphatic,6,20,6534,30850,0.3,0.21179902755267424,1.4164370982552799,1.594910140364686,0.23618000515080048,False
type:ASN,3,20,2637,30850,0.15,0.08547811993517018,1.7548350398179748,1.8880412233152646,0.2417820680529154,False
type:SER,3,20,2757,30850,0.15,0.0893679092382496,1.678454842219804,1.7981821673174165,0.2632420866376539,False
class:Basic,3,20,3027,30850,0.15,0.09811993517017828,1.528741328047572,1.6220486212324374,0.31254143768441894,False
type:ILE,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:TYR,0,20,1440,30850,0.0,0.046677471636952995,0.0,0.0,1.0,False
type:GLU,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:VAL,0,20,1620,30850,0.0,0.05251215559157212,0.0,0.0,1.0,False
type:GLY,0,20,2220,30850,0.0,0.07196110210696921,0.0,0.0,1.0,False
type:THR,0,20,2460,30850,0.0,0.07974068071312804,0.0,0.0,1.0,False
type:PHE,0,20,1800,30850,0.0,0.05834683954619125,0.0,0.0,1.0,False
type:TRP,0,20,720,30850,0.0,0.023338735818476498,0.0,0.0,1.0,False
type:PRO,0,20,2160,30850,0.0,0.0700162074554295,0.0,0.0,1.0,False
type:LYS,0,20,990,30850,0.0,0.032090761750405185,0.0,0.0,1.0,False
type:ASP,0,20,1500,30850,0.0,0.04862236628849271,0.0,0.0,1.0,False
type:CYS,0,20,300,30850,0.0,0.009724473257698542,0.0,0.0,1.0,False
type:MET,0,20,660,30850,0.0,0.02139384116693679,0.0,0.0,1.0,False
type:HIS,0,20,780,30850,0.0,0.025283630470016208,0.0,0.0,1.0,False
type:LEU,0,20,1980,30850,0.0,0.06418152350081037,0.0,0.0,1.0,False
class:Special,0,20,4380,30850,0.0,0.1419773095623987,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,30850,0.0,0.12836304700162074,0.0,0.0,1.0,False
class:Sulfur,0,20,960,30850,0.0,0.03111831442463533,0.0,0.0,1.0,False
class:Acidic,0,20,2640,30850,0.0,0.08557536466774716,0.0,0.0,1.0,False
flag:is_charged,20,20,30850,30850,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,30850,0.0,0.15364667747163696,0.0,0.0,1.0,False
