r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.610463397003065324e+02,9.666098553772080326e-02
2.000000000000000111e-01,-1.710073970612337462e+02,1.015174709280439874e-01
3.000000000000000444e-01,-1.806055376556850547e+02,1.057012748811806679e-01
4.000000000000000222e-01,-1.895621532329744241e+02,1.141833879966757948e-01
5.000000000000000000e-01,-1.978493232938879203e+02,1.220167682997665010e-01
6.000000000000000888e-01,-2.051875516898955709e+02,1.287694875862177846e-01
7.000000000000000666e-01,-2.116135260372771256e+02,1.362281447898616438e-01
8.000000000000000444e-01,-2.167684191823590538e+02,1.494604770533398130e-01
9.000000000000000222e-01,-2.210343159249450764e+02,1.691645766783843596e-01
1.000000000000000000e+00,-2.243774542856981782e+02,1.883522662098611467e-01
1.100000000000000089e+00,-2.269865840273502329e+02,2.101317064261405132e-01
1.200000000000000178e+00,-2.285870171186158188e+02,2.351752016639164777e-01
1.300000000000000044e+00,-2.294989931555678879e+02,2.534717947678259975e-01
1.400000000000000133e+00,-2.296715644772441749e+02,2.708933928225483734e-01
1.500000000000000000e+00,-2.289576570454108548e+02,2.944887979281927692e-01
1.600000000000000089e+00,-2.277388814002607944e+02,3.122628202501898653e-01
1.700000000000000178e+00,-2.259142709687149591e+02,3.263543138682286626e-01
1.800000000000000044e+00,-2.234513075635799737e+02,3.480556430851281524e-01
1.900000000000000133e+00,-2.207703576204436899e+02,3.691074733899508131e-01
2.000000000000000000e+00,-2.175570692228367022e+02,3.871952505270160327e-01
2.100000000000000089e+00,-2.140725678831300911e+02,4.054380184798396791e-01
2.200000000000000178e+00,-2.102843375017110930e+02,4.258011294112423184e-01
2.300000000000000266e+00,-2.060838011562570955e+02,4.430528733319049062e-01
2.400000000000000355e+00,-2.017878922411006499e+02,4.549519751942019408e-01
2.500000000000000000e+00,-1.972155827820099319e+02,4.618236959061624014e-01
2.600000000000000089e+00,-1.928303120824807593e+02,4.680896633838863563e-01
2.700000000000000178e+00,-1.883017666976274711e+02,4.789714336531704642e-01
2.800000000000000266e+00,-1.838307224903967949e+02,4.882863382096903071e-01
2.900000000000000355e+00,-1.792463340157619314e+02,5.004413261238387367e-01
3.000000000000000000e+00,-1.748932389308211555e+02,5.158594445167234976e-01
3.100000000000000089e+00,-1.705606805186751558e+02,5.334206943353565489e-01
3.200000000000000178e+00,-1.663136052262917417e+02,5.484063109174750483e-01
3.300000000000000266e+00,-1.623646364901110246e+02,5.622814598666447949e-01
3.400000000000000355e+00,-1.585394915553855526e+02,5.723566663195506221e-01
3.500000000000000000e+00,-1.548243635954658828e+02,5.880227455342759146e-01
3.600000000000000089e+00,-1.513962574775614200e+02,6.026844521029225410e-01
3.700000000000000178e+00,-1.485552592381737043e+02,6.156416194796212604e-01
3.800000000000000266e+00,-1.461412040275131687e+02,6.233796883162182612e-01
3.900000000000000355e+00,-1.441511749158979399e+02,6.302024820967684349e-01
4.000000000000000000e+00,-1.426596445303732423e+02,6.376947963206418546e-01
4.100000000000000533e+00,-1.416212627543280007e+02,6.439291442953146705e-01
4.200000000000000178e+00,-1.410597882693240024e+02,6.602893809877504738e-01
4.299999999999999822e+00,-1.406047448785088250e+02,6.711111277925833063e-01
4.400000000000000355e+00,-1.409363735058905149e+02,6.813647153218869157e-01
4.500000000000000000e+00,-1.414083082852608300e+02,6.913230156425829165e-01
4.600000000000000533e+00,-1.422611350161928385e+02,6.994940106455730389e-01
4.700000000000000178e+00,-1.433617001687211712e+02,7.069374046673735368e-01
4.800000000000000711e+00,-1.445470206793206671e+02,7.115680673075663876e-01
4.900000000000000355e+00,-1.458176506535410226e+02,7.133274114559055024e-01
5.000000000000000000e+00,-1.470974327132789199e+02,7.162103146825856692e-01
