group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:GLY,6,20,2214,30850,0.3,0.07176661264181523,4.1802168021680215,5.543166860240031,0.0022098398417622327,True
type:SER,6,20,2754,30850,0.3,0.08927066450567261,3.360566448801743,4.37223778400249,0.0065554813347986195,True
class:Polar_uncharged,11,20,9349,30850,0.55,0.30304700162074555,1.814899989303669,2.810888865119264,0.01857148630032476,True
class:Special,6,20,4374,30850,0.3,0.14178282009724474,2.1159122085048008,2.5941602978640015,0.05352117290965914,False
type:GLN,3,20,1497,30850,0.15,0.04852512155591572,3.091182364729459,3.46021454674054,0.07046470074094717,False
flag:is_polar,13,20,15017,30850,0.65,0.48677471636952996,1.3353199706998735,1.9580570591424957,0.10792980086528225,False
type:ASN,2,20,2638,30850,0.1,0.08551053484602918,1.1694465504169826,1.1882739449077584,0.5198682768238594,False
type:ARG,1,20,1259,30850,0.05,0.04081037277147488,1.2251787132644956,1.2370302244889428,0.5655680437321585,False
type:ASP,1,20,1499,30850,0.05,0.04858995137763371,1.0290193462308206,1.030546680242969,0.6308441421970291,False
type:ALA,1,20,1799,30850,0.05,0.058314424635332256,0.8574207893274041,0.8499166203446359,0.699390665493429,False
class:Acidic,1,20,2639,30850,0.05,0.08554294975688817,0.5845017051913604,0.5626333738856425,0.8328005327360224,False
class:Basic,1,20,3029,30850,0.05,0.09818476499189627,0.509243974909211,0.4834147104307484,0.8734211985388385,False
class:Aliphatic,1,20,6539,30850,0.05,0.2119611021069692,0.2358923382780242,0.19567614555581492,0.9914613201822412,False
type:THR,0,20,2460,30850,0.0,0.07974068071312804,0.0,0.0,1.0,False
type:LYS,0,20,990,30850,0.0,0.032090761750405185,0.0,0.0,1.0,False
type:PHE,0,20,1800,30850,0.0,0.05834683954619125,0.0,0.0,1.0,False
type:TYR,0,20,1440,30850,0.0,0.046677471636952995,0.0,0.0,1.0,False
type:LEU,0,20,1980,30850,0.0,0.06418152350081037,0.0,0.0,1.0,False
type:TRP,0,20,720,30850,0.0,0.023338735818476498,0.0,0.0,1.0,False
type:PRO,0,20,2160,30850,0.0,0.0700162074554295,0.0,0.0,1.0,False
type:HIS,0,20,780,30850,0.0,0.025283630470016208,0.0,0.0,1.0,False
type:VAL,0,20,1620,30850,0.0,0.05251215559157212,0.0,0.0,1.0,False
type:CYS,0,20,300,30850,0.0,0.009724473257698542,0.0,0.0,1.0,False
type:MET,0,20,660,30850,0.0,0.02139384116693679,0.0,0.0,1.0,False
type:GLU,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:ILE,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
class:Sulfur,0,20,960,30850,0.0,0.03111831442463533,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,30850,0.0,0.12836304700162074,0.0,0.0,1.0,False
flag:is_charged,20,20,30850,30850,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,30850,0.0,0.15364667747163696,0.0,0.0,1.0,False
