region_type,region_index,n,mean,std,min,max,sem
3F,0,619,-0.008691470943047818,0.05781247432968626,-0.051000501342211395,0.6937788167313836,0.0023236795330004154
3F,1,615,-0.012354669082837923,0.05091915630529009,-0.0589085747862688,0.7097566236946077,0.002053258555882571
3F,2,617,-0.00769415684111062,0.06378404853185463,-0.05612487662967648,0.6777406580611792,0.0025678491043819494
3F,3,621,0.01900155260707106,0.13777004099403717,-0.05053729403167848,0.8569010087651313,0.00552852130490952
3F,4,623,-0.01720121064611755,0.010467313468315611,-0.047622450751738855,-0.0006928453734974302,0.0004193640588733964
3F,5,618,-0.017336571057951132,0.010466742402010702,-0.0476962987806668,-0.0010591795439913341,0.0004210341262334365
3F,6,618,-0.01129530058237658,0.05373828689314135,-0.047104908428926645,0.7226621653220179,0.0021616709190233844
3F,7,610,-0.008579033179293163,0.05422182998857657,-0.055814032315625164,0.736260490199322,0.0021953777251867315
3F,8,620,-0.01524005362414079,0.030214350395460176,-0.05060587507993741,0.6274837022242621,0.0012134375123933237
3F,9,621,-0.014863046379530719,0.01881989729848837,-0.050197943724302516,0.1719436789994263,0.0007552164637550286
3F,10,619,-0.016219561631336768,0.012396703946680195,-0.048296945613803384,0.09066823101296889,0.000498265600487793
3F,11,633,-0.014997883869047702,0.018457010397745725,-0.0499685611228141,0.21184059400359928,0.0007336003027146051
3F,12,612,-0.005716756640936154,0.07021701935600458,-0.05060307148296456,0.8562601175427726,0.0028383547796161437
3F,13,615,-0.017303640026205692,0.010645563304466792,-0.052024315025409135,0.0030755346991633565,0.0004292705441942897
3F,14,625,-0.012427006571534248,0.037974378977701805,-0.04871605216644783,0.5083647753903254,0.001518975159108072
3F,15,621,-0.017128123595130697,0.010401379934725482,-0.05048603088984705,0.02319324687341011,0.00041739299890370985
3F,16,621,-0.013895302459840221,0.03231055394817187,-0.051970472098510384,0.44193930105070894,0.0012965778669081465
3F,17,619,-0.010272540152166118,0.056449218223374883,-0.04820746886681923,0.7211305998523648,0.0022688856438060384
3F,18,617,-0.007743843666114804,0.058964248947063425,-0.04635705784696366,0.5945462633225248,0.0023738112793773862
3F,19,612,-0.014083910187722056,0.03137120066815942,-0.050926771362295266,0.3474964795949731,0.0012681056270320453
5F,0,196,-0.015295418552524304,0.052629655593289956,-0.04702060139704073,0.4497085373494927,0.0037592611138064255
5F,1,191,-0.02402285051658785,0.011624451247964449,-0.046403755074546464,0.0740094545592638,0.0008411157723486874
5F,2,197,-0.011274064008759846,0.09294154982728228,-0.04285948473820985,0.8362811860304261,0.006621811246498176
5F,3,193,0.009837215918868596,0.1279124780423168,-0.0429239091069014,0.6856323160110686,0.009207341641215618
5F,4,188,-0.016409737082915172,0.03347848245208427,-0.04296407694510723,0.252117316007418,0.002441669279117842
5F,5,186,-0.02496872166336903,0.007940242049333692,-0.04279323911070451,-0.004373737952800759,0.000582206794553012
5F,6,187,-0.025104636430025945,0.008054270327314239,-0.04347851601797374,-0.004248130450641922,0.0005889865786830301
5F,7,188,-0.025048852885326923,0.007991090074090122,-0.04343979542335001,-0.004869769841534821,0.0005828101428580326
5F,8,202,0.003268312286077791,0.11243641219129252,-0.043476778142738086,0.7192138236677696,0.007910998355607648
5F,9,185,-0.004121681321745754,0.08466543899480543,-0.04296050251201379,0.6598355615436643,0.006224726873497221
5F,10,190,-0.023995943003762347,0.010797270917243036,-0.0434954374936309,0.06296699751271218,0.0007833163616463364
5F,11,201,-0.012089750057784879,0.07694838290166472,-0.04358316469070244,0.7452203128003997,0.005427520452709794
