group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Basic,15,20,3405,31120,0.75,0.10941516709511569,6.854625550660793,24.41850220264317,3.5843059707717654e-11,True
type:ARG,9,20,1491,31120,0.45,0.04791131105398458,9.39235412474849,16.258825681360893,1.413171550511728e-07,True
flag:is_polar,19,20,16061,31120,0.95,0.5160989717223651,1.8407322084552642,17.814644169105286,3.56869602266936e-05,True
type:LYS,6,20,1074,31120,0.3,0.034511568123393316,8.692737430167597,11.989624900239425,4.379670893305938e-05,True
type:ASN,3,20,2457,31120,0.15,0.07895244215938303,1.8998778998778998,2.0586798822092938,0.20671496380427323,False
type:GLU,1,20,1139,31120,0.05,0.03660025706940874,1.3661106233538192,1.3853796035303358,0.5258102162139964,False
type:PHE,1,20,1619,31120,0.05,0.05202442159383033,0.9610870907967882,0.9590390429439876,0.6565927829629385,False
class:Acidic,1,20,2699,31120,0.05,0.08672879177377892,0.5765098184512784,0.5542208615276614,0.8370824015539754,False
class:Aromatic,1,20,3899,31120,0.05,0.1252892030848329,0.3990766863298282,0.3674491435050823,0.9312313738278839,False
flag:is_aromatic,1,20,4739,31120,0.05,0.15228149100257068,0.3283393120911585,0.2929887495696405,0.9632522807405087,False
class:Polar_uncharged,3,20,9957,31120,0.15,0.31995501285347044,0.4688159084061464,0.37507753930134874,0.9765007374371723,False
type:LEU,0,20,1920,31120,0.0,0.061696658097686374,0.0,0.0,1.0,False
type:SER,0,20,2880,31120,0.0,0.09254498714652956,0.0,0.0,1.0,False
type:THR,0,20,2700,31120,0.0,0.08676092544987146,0.0,0.0,1.0,False
type:ASP,0,20,1560,31120,0.0,0.05012853470437018,0.0,0.0,1.0,False
type:VAL,0,20,1740,31120,0.0,0.055912596401028275,0.0,0.0,1.0,False
type:ILE,0,20,1140,31120,0.0,0.036632390745501286,0.0,0.0,1.0,False
type:TYR,0,20,1560,31120,0.0,0.05012853470437018,0.0,0.0,1.0,False
type:GLY,0,20,2220,31120,0.0,0.07133676092544987,0.0,0.0,1.0,False
type:HIS,0,20,840,31120,0.0,0.02699228791773779,0.0,0.0,1.0,False
type:GLN,0,20,1920,31120,0.0,0.061696658097686374,0.0,0.0,1.0,False
type:PRO,0,20,1980,31120,0.0,0.06362467866323908,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:ALA,0,20,1380,31120,0.0,0.04434447300771208,0.0,0.0,1.0,False
type:MET,0,20,480,31120,0.0,0.015424164524421594,0.0,0.0,1.0,False
class:Aliphatic,0,20,6180,31120,0.0,0.198586118251928,0.0,0.0,1.0,False
class:Special,0,20,4200,31120,0.0,0.13496143958868895,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,780,31120,0.0,0.02506426735218509,0.0,0.0,1.0,False
