region_type,region_index,n,mean,std,min,max,sem
3F,0,629,0.005631175519257742,0.15677139728062922,-0.22677236484778812,0.9048060486652476,0.006250884961871516
3F,1,629,0.02764246148674724,0.15707574242863973,-0.22459433074735977,0.6242454732008038,0.006263019997610925
3F,2,626,0.03937314524660731,0.17025336991943268,-0.18283096992724981,0.8880018803558948,0.006804693217964504
3F,3,619,0.08778749614371101,0.2130686058205731,-0.19730173693307124,0.9648763977435811,0.008563950327515514
3F,4,633,0.06785454491432957,0.1830673466741662,-0.25499692736260815,0.7282558053661627,0.007276273786665396
3F,5,628,0.07583563161325435,0.22564114826920292,-0.22435210018260074,0.8013584748382975,0.009004062051493247
3F,6,633,0.031414345356767154,0.1783286361622032,-0.22141981150061277,0.9157411374176002,0.007087926953069988
3F,7,624,0.026480373320469923,0.14848899843145189,-0.211904095200144,0.6487236254708062,0.005944317294798717
3F,8,624,0.01344750097638327,0.15260809946052692,-0.25265130755439247,0.664490448682525,0.006109213305579322
3F,9,628,0.03672540561463573,0.14716168801266297,-0.23593084236106132,0.7031350158742027,0.00587239065495112
3F,10,627,0.06989653638846238,0.2168931520211928,-0.2404012136447014,1.035222535725278,0.008661878145315107
3F,11,634,0.020854521723073144,0.16932468874867718,-0.21669963108241339,0.8937885794516015,0.006724742465702748
3F,12,622,0.06822264995980014,0.19770568874382166,-0.13909708792995945,1.0334824185941873,0.007927275897419523
3F,13,634,0.046746723758080075,0.17926033087275275,-0.2169393631691089,1.1326482847005888,0.007119337223322334
3F,14,633,0.0540094177168728,0.1887088049721668,-0.209578157484436,0.9363400319406808,0.00750050162345908
3F,15,625,0.06887989238036482,0.22426580901879956,-0.2014545853639437,1.0092709858312823,0.008970632360751983
3F,16,621,0.10442176855390754,0.2684619677268305,-0.2287599042989143,1.4985251271523554,0.010773007668626244
3F,17,628,0.05213082548613254,0.17405967732770336,-0.2085852116037907,0.7042872198670062,0.006945737279495319
3F,18,613,0.017472388458736846,0.1423998987010275,-0.23819262355463564,0.5529851478408425,0.005751477737633815
3F,19,629,0.07400039080757657,0.18903087262692936,-0.20483755264997747,0.9589950646602995,0.0075371544779815735
5F,0,195,-0.11993135717991714,0.04703380710854468,-0.25903744132769735,-0.008484076643997049,0.0033681608853130453
5F,1,204,-0.13418001659764664,0.04684569013351465,-0.2796111865402666,-0.03461024145012483,0.0032798543458254
5F,2,187,-0.1096073639746942,0.07185124746500456,-0.24125259488215425,0.1376328278968145,0.005254283591029223
5F,3,203,-0.07227810682198064,0.09273430763484526,-0.2300888111159407,0.2228337899939959,0.006508672430719984
5F,4,193,-0.10052148989116519,0.057077718761723795,-0.25329137540520974,0.0764924811696734,0.004108544098149306
5F,5,192,-0.1014591937412051,0.053291855429080374,-0.23920214801225775,0.0756747566914773,0.0038460083846992717
5F,6,189,-0.07755227470506093,0.10149323049505699,-0.24909352971095386,0.242224246553143,0.0073825462106222066
5F,7,193,-0.10427701192230451,0.060156071101788486,-0.23097771210544588,0.13451144327506626,0.004330128748222573
5F,8,197,-0.0669520676310258,0.05777501467961994,-0.19365768472102182,0.08152083104488585,0.004116299358931095
5F,9,201,-0.10404281745111311,0.0856219600551293,-0.22999087202977903,0.2453784695816958,0.006039307414610548
5F,10,203,-0.05988993501284961,0.08643439854925658,-0.2340427912458279,0.21441277636810904,0.006066505495664268
5F,11,196,-0.12269692955406478,0.05988729669900479,-0.24659080773379685,0.06731609482708147,0.004277664049928914
