r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.696266275328630115e+02,2.590123443056066566e-01
2.000000000000000111e-01,-1.771938404400667935e+02,2.793030394983699871e-01
3.000000000000000444e-01,-1.840725003196822342e+02,2.982077333987401269e-01
4.000000000000000222e-01,-1.902673454266078465e+02,3.203987537349651249e-01
5.000000000000000000e-01,-1.957056368998154596e+02,3.409396482882782742e-01
6.000000000000000888e-01,-2.006504786334430150e+02,3.666175566293702892e-01
7.000000000000000666e-01,-2.049152256239640053e+02,3.872436935763603483e-01
8.000000000000000444e-01,-2.084848505236085998e+02,4.092961387066720302e-01
9.000000000000000222e-01,-2.116697280036737254e+02,4.352077637609962912e-01
1.000000000000000000e+00,-2.149137754964498868e+02,4.535280849299196393e-01
1.100000000000000089e+00,-2.184728358678644895e+02,4.655436931400883105e-01
1.200000000000000178e+00,-2.218676718235768703e+02,4.793496346871931046e-01
1.300000000000000044e+00,-2.253095647295940296e+02,4.907941732274624935e-01
1.400000000000000133e+00,-2.284417487144814629e+02,5.036610411515197727e-01
1.500000000000000000e+00,-2.313204302408956607e+02,5.195000193207029993e-01
1.600000000000000089e+00,-2.339129702205561898e+02,5.291714014037324221e-01
1.700000000000000178e+00,-2.361430405782983541e+02,5.401061701734942710e-01
1.800000000000000044e+00,-2.380542811671496679e+02,5.538158765596504773e-01
1.900000000000000133e+00,-2.397769390368815152e+02,5.672525779345749530e-01
2.000000000000000000e+00,-2.411364417967874942e+02,5.812913933756495011e-01
2.100000000000000089e+00,-2.422888560077814191e+02,5.944180666899607779e-01
2.200000000000000178e+00,-2.433016743788433587e+02,6.101841976710168369e-01
2.300000000000000266e+00,-2.443384578120184472e+02,6.306954984214085957e-01
2.400000000000000355e+00,-2.452488789018584043e+02,6.470968877360119276e-01
2.500000000000000000e+00,-2.462572931053276761e+02,6.606229199112215733e-01
2.600000000000000089e+00,-2.472308491601350511e+02,6.747645549817058441e-01
2.700000000000000178e+00,-2.481750742786124420e+02,6.876169136326912845e-01
2.800000000000000266e+00,-2.494221009678999508e+02,7.029415922991560928e-01
2.900000000000000355e+00,-2.506151692371718696e+02,7.181297684207964549e-01
3.000000000000000000e+00,-2.517222157929983553e+02,7.357960567626224968e-01
3.100000000000000089e+00,-2.528986710763683448e+02,7.517518002359370177e-01
3.200000000000000178e+00,-2.539810080599195317e+02,7.670641022436998080e-01
3.300000000000000266e+00,-2.552037122689843898e+02,7.845124014183595396e-01
3.400000000000000355e+00,-2.561702695245367067e+02,7.978667802110529506e-01
3.500000000000000000e+00,-2.570463537383982384e+02,8.173441948243663768e-01
3.600000000000000089e+00,-2.579944402519569735e+02,8.295100857848228815e-01
3.700000000000000178e+00,-2.590687990212346108e+02,8.438656913141208138e-01
3.800000000000000266e+00,-2.598402953824410133e+02,8.548967977142351016e-01
3.900000000000000355e+00,-2.607341646677389804e+02,8.680680734758827732e-01
4.000000000000000000e+00,-2.615162222562879037e+02,8.898212760330511673e-01
4.100000000000000533e+00,-2.622379135619165140e+02,9.054404928131239982e-01
4.200000000000000178e+00,-2.629849550435966421e+02,9.173937087477106456e-01
4.299999999999999822e+00,-2.635341036889290649e+02,9.318703197660515025e-01
4.400000000000000355e+00,-2.640819846983887373e+02,9.373288426033721255e-01
4.500000000000000000e+00,-2.647245368225847528e+02,9.561753312113284720e-01
4.600000000000000533e+00,-2.653659903597564380e+02,9.708060215478528931e-01
4.700000000000000178e+00,-2.661484113409190400e+02,9.799389854070551520e-01
4.800000000000000711e+00,-2.666500597983589387e+02,9.941349411442748085e-01
4.900000000000000355e+00,-2.671560359567263276e+02,1.008594676207332785e+00
5.000000000000000000e+00,-2.678536105244635905e+02,1.019096343677646122e+00
5.100000000000000533e+00,-2.684343998864591754e+02,1.034688422729212354e+00
5.200000000000000178e+00,-2.689927197838586608e+02,1.049821583272029457e+00
5.300000000000000711e+00,-2.699132287961825796e+02,1.066012204723018497e+00
5.400000000000000355e+00,-2.706612699386481040e+02,1.081303656024329429e+00
5.500000000000000000e+00,-2.712673030157822609e+02,1.096472465636647353e+00
5.600000000000000533e+00,-2.721153594412455732e+02,1.105441189762999432e+00
5.700000000000000178e+00,-2.730068444852856828e+02,1.123003011667899287e+00
5.800000000000000711e+00,-2.736170792342448976e+02,1.137388632321628013e+00
5.900000000000000355e+00,-2.743178111240000590e+02,1.151104321814612197e+00
6.000000000000000000e+00,-2.749085901203202411e+02,1.163698271925821981e+00
6.100000000000000533e+00,-2.755970424364473956e+02,1.177667679649827326e+00
6.200000000000000178e+00,-2.765258027736327904e+02,1.191648117949184904e+00
6.300000000000000711e+00,-2.769907131525463342e+02,1.203261174637490161e+00
6.400000000000000355e+00,-2.776309735302512536e+02,1.215487102459280599e+00
6.500000000000000000e+00,-2.781711645877605292e+02,1.231567915245160183e+00
6.600000000000000533e+00,-2.786952298575700411e+02,1.242050251797892635e+00
6.700000000000000178e+00,-2.792932323356549205e+02,1.251433172012847539e+00
6.800000000000000711e+00,-2.798864712043598502e+02,1.261006811251013771e+00
6.900000000000000355e+00,-2.805294705499962333e+02,1.271262345300654850e+00
7.000000000000000000e+00,-2.812619040473414316e+02,1.281043756521581978e+00
7.100000000000000533e+00,-2.817400117403340118e+02,1.294309823337685073e+00
7.200000000000000178e+00,-2.822455728334912806e+02,1.304814364634352630e+00
7.300000000000000711e+00,-2.827211875366573963e+02,1.319091538714384892e+00
7.400000000000000355e+00,-2.833932199355277817e+02,1.328723802625163986e+00
7.500000000000000000e+00,-2.839222434351317474e+02,1.339429202078779468e+00
7.600000000000000533e+00,-2.844551328635081404e+02,1.353951388355257412e+00
7.700000000000000178e+00,-2.851065345365821599e+02,1.366531810024062876e+00
7.800000000000000711e+00,-2.856348399126736695e+02,1.385714215210530176e+00
7.900000000000000355e+00,-2.861324654448965816e+02,1.393367144366434385e+00
8.000000000000000000e+00,-2.866534891580079716e+02,1.402156822916962309e+00
8.099999999999999645e+00,-2.870856627417168738e+02,1.412325849973686598e+00
8.200000000000001066e+00,-2.876268344412960118e+02,1.425964403876730957e+00
8.300000000000000711e+00,-2.882511969835547916e+02,1.439306603126861539e+00
8.400000000000000355e+00,-2.888519668677766958e+02,1.446083838689174561e+00
8.500000000000000000e+00,-2.893697884568322252e+02,1.462060221696967366e+00
8.599999999999999645e+00,-2.899730342189491239e+02,1.471024341224684395e+00
8.700000000000001066e+00,-2.904335336613329446e+02,1.476635826925174477e+00
8.800000000000000711e+00,-2.908788428086960494e+02,1.484870298553800705e+00
8.900000000000000355e+00,-2.914275406949365106e+02,1.499599637530273366e+00
9.000000000000000000e+00,-2.920601259777873793e+02,1.503750447091531939e+00
9.099999999999999645e+00,-2.924877573411467324e+02,1.510382462363373479e+00
