r_angstrom,gamma23_mean,gamma23_sem
1.000000000000000056e-01,-1.854539872627483987e+01,5.510475617827080563e-02
2.000000000000000111e-01,-1.946593989697564453e+01,5.907251249835401841e-02
3.000000000000000444e-01,-2.037677973064352344e+01,6.138908501007303564e-02
4.000000000000000222e-01,-2.129019500999117653e+01,6.394365764996769175e-02
5.000000000000000000e-01,-2.216255616376473014e+01,6.748330139549531259e-02
6.000000000000000888e-01,-2.297329783928944735e+01,6.982583353208757226e-02
7.000000000000000666e-01,-2.375731654395350034e+01,7.170040119608828144e-02
8.000000000000000444e-01,-2.445087050212819335e+01,7.431557739310376554e-02
9.000000000000000222e-01,-2.503905678773903531e+01,7.659246328065359710e-02
1.000000000000000000e+00,-2.567281281229876910e+01,7.879277177643903562e-02
1.100000000000000089e+00,-2.619712973728588778e+01,8.173137013297050724e-02
1.200000000000000178e+00,-2.667054576058588111e+01,8.518267659456928154e-02
1.300000000000000044e+00,-2.706669635855670464e+01,8.843709550107553552e-02
1.400000000000000133e+00,-2.735163216828518173e+01,9.237181659555189495e-02
1.500000000000000000e+00,-2.761911416727923196e+01,9.431960530037082624e-02
1.600000000000000089e+00,-2.785562572703515372e+01,9.679791534470999492e-02
1.700000000000000178e+00,-2.804092145889054777e+01,9.848948780741241527e-02
1.800000000000000044e+00,-2.818445436921556180e+01,1.006935374010745898e-01
1.900000000000000133e+00,-2.835596664361920460e+01,1.055802384020611689e-01
2.000000000000000000e+00,-2.848454353146672702e+01,1.063002767961893080e-01
2.100000000000000089e+00,-2.865664013864153503e+01,1.100375213006818953e-01
2.200000000000000178e+00,-2.887860933647669270e+01,1.139228297663413131e-01
2.300000000000000266e+00,-2.904244432388985686e+01,1.139113363482200658e-01
2.400000000000000355e+00,-2.927101439140403372e+01,1.142487959186199165e-01
2.500000000000000000e+00,-2.947244440909294738e+01,1.149411078392091889e-01
2.600000000000000089e+00,-2.974592536022688094e+01,1.160574499325260217e-01
2.700000000000000178e+00,-3.002019278987368267e+01,1.184214063683353968e-01
2.800000000000000266e+00,-3.033626158793257233e+01,1.197829942336569448e-01
2.900000000000000355e+00,-3.070992354181975514e+01,1.205320506342336395e-01
3.000000000000000000e+00,-3.103807975174510503e+01,1.220801135539642673e-01
3.100000000000000089e+00,-3.138333462148263919e+01,1.232051714813858362e-01
3.200000000000000178e+00,-3.175148316686720307e+01,1.249147214042405779e-01
3.300000000000000266e+00,-3.213587712578185318e+01,1.265550450949628480e-01
3.400000000000000355e+00,-3.246730323531684093e+01,1.278531514207683906e-01
3.500000000000000000e+00,-3.278116417721392395e+01,1.292588335106449882e-01
3.600000000000000089e+00,-3.307891597988646026e+01,1.318828690910288648e-01
3.700000000000000178e+00,-3.340993782560584435e+01,1.344544845437276870e-01
3.800000000000000266e+00,-3.374389194134496250e+01,1.353359086361389241e-01
3.900000000000000355e+00,-3.410503215631234752e+01,1.365243335090289001e-01
4.000000000000000000e+00,-3.438422718596497418e+01,1.380748449300948366e-01
4.100000000000000533e+00,-3.470233830630110816e+01,1.409119136415101503e-01
4.200000000000000178e+00,-3.498321746897796913e+01,1.412541695966059163e-01
4.299999999999999822e+00,-3.527400553715334297e+01,1.434511209637782114e-01
