group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:GLU,8,20,1132,31120,0.4,0.03637532133676093,10.996466431095406,17.66077738515901,2.678006932588574e-07,True
class:Acidic,8,20,2392,31120,0.4,0.07686375321336761,5.2040133779264215,8.006688963210703,6.668042538066538e-05,True
flag:is_polar,16,20,15644,31120,0.8,0.5026992287917738,1.59140884684224,3.957044234211199,0.0063363666146877785,True
type:THR,5,20,2995,31120,0.25,0.09624035989717224,2.5976627712854756,3.1302170283806343,0.03752837282722033,True
type:GLY,4,20,2456,31120,0.2,0.07892030848329049,2.5342019543973944,2.9177524429967425,0.06796135730346207,False
type:ASN,3,20,2817,31120,0.15,0.09052056555269923,1.6570820021299253,1.7730376495646183,0.26966328619783725,False
class:Polar_uncharged,8,20,10252,31120,0.4,0.3294344473007712,1.2142021069059696,1.3570035115099492,0.3248826754194682,False
class:Special,4,20,4496,31120,0.2,0.14447300771208227,1.3843416370106763,1.480427046263345,0.32569309059613427,False
type:SER,0,20,2400,31120,0.0,0.07712082262210797,0.0,0.0,1.0,False
type:ALA,0,20,1500,31120,0.0,0.04820051413881748,0.0,0.0,1.0,False
type:VAL,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:ARG,0,20,1260,31120,0.0,0.04048843187660668,0.0,0.0,1.0,False
type:LYS,0,20,1020,31120,0.0,0.032776349614395885,0.0,0.0,1.0,False
type:GLN,0,20,2040,31120,0.0,0.06555269922879177,0.0,0.0,1.0,False
type:ILE,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:ASP,0,20,1260,31120,0.0,0.04048843187660668,0.0,0.0,1.0,False
type:HIS,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:LEU,0,20,2100,31120,0.0,0.06748071979434447,0.0,0.0,1.0,False
type:PRO,0,20,2040,31120,0.0,0.06555269922879177,0.0,0.0,1.0,False
type:TYR,0,20,1620,31120,0.0,0.05205655526992288,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:MET,0,20,480,31120,0.0,0.015424164524421594,0.0,0.0,1.0,False
type:PHE,0,20,1620,31120,0.0,0.05205655526992288,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
class:Basic,0,20,3000,31120,0.0,0.09640102827763496,0.0,0.0,1.0,False
class:Aliphatic,0,20,6240,31120,0.0,0.20051413881748073,0.0,0.0,1.0,False
class:Sulfur,0,20,780,31120,0.0,0.02506426735218509,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31120,0.0,0.12724935732647816,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4680,31120,0.0,0.15038560411311053,0.0,0.0,1.0,False
