r_A,water_M,sucrose_M,water_per_A3,sucrose_per_A3,n_water,n_sucrose
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.3661,0.0,0.00022046193921721553,0.0,243.33333333333334,0.0
2.75,97.6116,0.0,0.058783058496061906,0.0,35702.05882352941,0.0
3.25,65.1345,0.0034,0.03922488798335965,2.0475609997310637e-06,16151.882352941177,0.8431372549019608
3.75,66.6087,0.02107,0.040112704015304104,1.269007953703239e-05,13573.490196078432,4.294117647058823
4.25,54.9985,0.0376,0.03312089731230734,2.264536983879772e-05,10008.70588235294,6.8431372549019605
4.75,50.6652,0.04719,0.030511315465792693,2.841603623128673e-05,8526.725490196079,7.9411764705882355
5.25,51.1484,0.06635,0.030802257808957647,3.9958821831689235e-05,8161.941176470588,10.588235294117647
5.75,53.002,0.0613,0.031918549226208674,3.6912779512700294e-05,8189.235294117647,9.470588235294118
6.25,57.7616,0.05425,0.03478485823594013,3.2672927443931774e-05,8663.235294117647,8.137254901960784
6.75,57.627,0.04059,0.03470376357244589,2.4443743471455234e-05,8462.764705882353,5.96078431372549
7.25,55.7985,0.03005,0.033602643500588655,1.809819368400723e-05,7972.823529411765,4.294117647058823
7.75,53.9359,0.02101,0.032480960327705,1.2654443877223923e-05,7649.9607843137255,2.980392156862745
8.25,54.2868,0.02052,0.032692289730561354,1.2358945792021724e-05,7572.6274509803925,2.8627450980392157
8.75,55.53,0.0228,0.033440922590157025,1.3727517199288896e-05,7594.745098039216,3.1176470588235294
9.25,55.4995,0.01957,0.033422601785869886,1.1782615501346122e-05,7564.274509803921,2.6666666666666665
9.75,55.3994,0.02417,0.03336227000030296,1.4554443240014717e-05,7505.9607843137255,3.2745098039215685
10.25,55.0683,0.02062,0.03316290846472183,1.2416733249460128e-05,7436.411764705882,2.784313725490196
10.75,55.3993,0.02176,0.03336225718253977,1.3106436572990576e-05,7386.901960784314,2.9019607843137254
11.25,55.184,0.02221,0.03323260569408184,1.3373068134362602e-05,7357.666666666667,2.9607843137254903
11.75,55.5783,0.01895,0.03347001651507596,1.1413870668820377e-05,7359.745098039216,2.5098039215686274
12.25,54.9893,0.01938,0.03311530519899816,1.1673178908335736e-05,7342.490196078431,2.588235294117647
12.75,55.2255,0.02001,0.03325760086289108,1.2050272727244888e-05,7359.745098039216,2.6666666666666665
13.25,55.8038,0.02186,0.03360581737759648,1.3161407014649714e-05,7359.686274509804,2.8823529411764706
13.75,55.3603,0.02286,0.033338731928254144,1.3765033317473412e-05,7313.450980392156,3.019607843137255
14.25,54.9757,0.01952,0.03310711177937361,1.1753119062785256e-05,7290.745098039216,2.588235294117647
14.75,55.3918,0.02332,0.033357720337662565,1.4043209199030985e-05,7312.392156862745,3.0784313725490198
